Sentence , Sentance ,id, Relations Weight
S1 , S3 ,1,2
S1 , S5 ,2,1
S1 , S7 ,3,2
S1 , S12 ,4,2
S1 , S13 ,5,3
S1 , S14 ,6,2
S1 , S15 ,7,2
S1 , S16 ,8,2
S1 , S17 ,9,1
S1 , S22 ,10,1
S1 , S29 ,11,2
S1 , S30 ,12,4
S1 , S32 ,13,2
S1 , S33 ,14,2
S1 , S50 ,15,2
S1 , S59 ,16,3
S1 , S61 ,17,1
S1 , S75 ,18,1
S1 , S78 ,19,2
S1 , S80 ,20,1
S1 , S81 ,21,1
S1 , S84 ,22,1
S1 , S85 ,23,1
S1 , S92 ,24,1
S1 , S95 ,25,2
S1 , S97 ,26,1
S1 , S98 ,27,1
S2 , S3 ,28,6
S2 , S8 ,29,1
S2 , S12 ,30,6
S2 , S13 ,31,6
S2 , S14 ,32,6
S2 , S15 ,33,7
S2 , S20 ,34,5
S2 , S44 ,35,2
S2 , S50 ,36,6
S2 , S57 ,37,2
S2 , S64 ,38,1
S2 , S70 ,39,2
S2 , S97 ,40,4
S3 , S6 ,41,1
S3 , S9 ,42,2
S3 , S10 ,43,1
S3 , S12 ,44,4
S3 , S13 ,45,3
S3 , S14 ,46,4
S3 , S15 ,47,5
S3 , S16 ,48,2
S3 , S17 ,49,1
S3 , S20 ,50,6
S3 , S22 ,51,1
S3 , S24 ,52,1
S3 , S27 ,53,4
S3 , S29 ,54,3
S3 , S31 ,55,1
S3 , S34 ,56,1
S3 , S35 ,57,1
S3 , S38 ,58,1
S3 , S40 ,59,1
S3 , S41 ,60,1
S3 , S50 ,61,2
S3 , S56 ,62,1
S3 , S63 ,63,1
S3 , S64 ,64,3
S3 , S66 ,65,3
S3 , S67 ,66,1
S3 , S72 ,67,1
S3 , S81 ,68,1
S3 , S84 ,69,1
S3 , S85 ,70,1
S3 , S86 ,71,2
S3 , S89 ,72,1
S3 , S94 ,73,1
S3 , S96 ,74,1
S3 , S97 ,75,1
S4 , S13 ,76,1
S4 , S14 ,77,1
S4 , S18 ,78,1
S4 , S37 ,79,1
S4 , S45 ,80,1
S4 , S57 ,81,1
S4 , S59 ,82,2
S4 , S61 ,83,2
S4 , S63 ,84,1
S4 , S64 ,85,1
S4 , S66 ,86,3
S4 , S72 ,87,1
S4 , S73 ,88,3
S4 , S86 ,89,1
S4 , S91 ,90,2
S4 , S92 ,91,2
S4 , S97 ,92,2
S4 , S98 ,93,2
S5 , S30 ,94,1
S5 , S37 ,95,2
S5 , S67 ,96,1
S6 , S7 ,97,1
S6 , S12 ,98,1
S6 , S13 ,99,1
S6 , S14 ,100,1
S6 , S15 ,101,1
S6 , S30 ,102,1
S6 , S32 ,103,1
S6 , S33 ,104,1
S6 , S37 ,105,1
S6 , S50 ,106,1
S6 , S59 ,107,1
S6 , S78 ,108,1
S6 , S95 ,109,1
S7 , S9 ,110,1
S7 , S14 ,111,1
S7 , S16 ,112,1
S7 , S17 ,113,2
S7 , S21 ,114,2
S7 , S22 ,115,1
S7 , S23 ,116,2
S7 , S25 ,117,2
S7 , S27 ,118,1
S7 , S30 ,119,1
S7 , S31 ,120,1
S7 , S33 ,121,1
S7 , S45 ,122,1
S7 , S46 ,123,1
S7 , S47 ,124,2
S7 , S48 ,125,1
S7 , S49 ,126,2
S7 , S50 ,127,5
S7 , S55 ,128,2
S7 , S64 ,129,1
S7 , S69 ,130,1
S7 , S74 ,131,1
S7 , S75 ,132,1
S7 , S78 ,133,1
S7 , S81 ,134,1
S7 , S83 ,135,1
S7 , S84 ,136,1
S7 , S87 ,137,1
S8 , S9 ,138,1
S8 , S10 ,139,1
S8 , S12 ,140,1
S8 , S20 ,141,1
S9 , S12 ,142,2
S9 , S13 ,143,2
S9 , S14 ,144,2
S9 , S15 ,145,2
S9 , S20 ,146,4
S9 , S30 ,147,1
S9 , S32 ,148,1
S9 , S33 ,149,1
S9 , S37 ,150,1
S9 , S50 ,151,2
S9 , S59 ,152,1
S9 , S78 ,153,1
S9 , S95 ,154,1
S10 , S12 ,155,1
S10 , S13 ,156,1
S10 , S14 ,157,1
S10 , S15 ,158,1
S10 , S20 ,159,4
S10 , S37 ,160,1
S10 , S50 ,161,1
S10 , S67 ,162,1
S11 , S15 ,163,1
S11 , S29 ,164,1
S11 , S86 ,165,1
S12 , S13 ,166,3
S12 , S14 ,167,4
S12 , S15 ,168,5
S12 , S20 ,169,10
S12 , S24 ,170,1
S12 , S27 ,171,4
S12 , S29 ,172,3
S12 , S31 ,173,1
S12 , S34 ,174,1
S12 , S38 ,175,1
S12 , S40 ,176,1
S12 , S41 ,177,1
S12 , S50 ,178,2
