Source,Target, id, Weight
S1 , S2 ,1,1
S1 , S4 ,2,1
S1 , S7 ,3,1
S1 , S8 ,4,3
S1 , S10 ,5,1
S1 , S12 ,6,1
S1 , S14 ,7,1
S1 , S17 ,8,1
S1 , S21 ,9,1
S1 , S22 ,10,1
S1 , S23 ,11,1
S1 , S28 ,12,1
S1 , S32 ,13,1
S1 , S36 ,14,2
S1 , S37 ,15,1
S1 , S39 ,16,1
S1 , S43 ,17,2
S1 , S46 ,18,1
S1 , S47 ,19,2
S1 , S49 ,20,1
S1 , S50 ,21,1
S1 , S54 ,22,1
S1 , S55 ,23,1
S1 , S59 ,24,1
S1 , S61 ,25,1
S1 , S62 ,26,1
S1 , S63 ,27,1
S1 , S65 ,28,1
S1 , S69 ,29,1
S1 , S70 ,30,2
S1 , S72 ,31,1
S1 , S73 ,32,1
S1 , S75 ,33,1
S1 , S77 ,34,1
S1 , S80 ,35,1
S1 , S81 ,36,1
S1 , S82 ,37,1
S1 , S85 ,38,2
S1 , S88 ,39,1
S1 , S89 ,40,2
S1 , S90 ,41,2
S1 , S92 ,42,1
S1 , S95 ,43,1
S2 , S4 ,44,1
S2 , S8 ,45,1
S2 , S10 ,46,2
S2 , S11 ,47,3
S2 , S13 ,48,2
S2 , S14 ,49,1
S2 , S25 ,50,1
S2 , S27 ,51,1
S2 , S30 ,52,1
S2 , S31 ,53,1
S2 , S32 ,54,2
S2 , S34 ,55,2
S2 , S35 ,56,2
S2 , S37 ,57,1
S2 , S43 ,58,1
S2 , S55 ,59,2
S2 , S58 ,60,1
S2 , S59 ,61,1
S2 , S60 ,62,1
S2 , S63 ,63,1
S2 , S64 ,64,2
S2 , S69 ,65,1
S2 , S72 ,66,1
S2 , S74 ,67,1
S2 , S75 ,68,1
S3 , S5 ,69,1
S3 , S8 ,70,1
S3 , S9 ,71,1
S3 , S10 ,72,3
S3 , S12 ,73,2
S3 , S18 ,74,1
S3 , S25 ,75,1
S3 , S36 ,76,1
S3 , S38 ,77,1
S3 , S39 ,78,1
S3 , S42 ,79,1
S3 , S48 ,80,1
S3 , S51 ,81,3
S3 , S56 ,82,3
S3 , S60 ,83,2
S3 , S62 ,84,3
S3 , S67 ,85,7
S3 , S68 ,86,1
S3 , S69 ,87,1
S3 , S72 ,88,3
S3 , S83 ,89,3
S3 , S95 ,90,1
S4 , S7 ,91,1
S4 , S8 ,92,3
S4 , S9 ,93,1
S4 , S10 ,94,4
S4 , S11 ,95,2
S4 , S12 ,96,1
S4 , S13 ,97,1
S4 , S14 ,98,1
S4 , S17 ,99,1
S4 , S19 ,100,2
S4 , S21 ,101,2
S4 , S22 ,102,1
S4 , S24 ,103,1
S4 , S26 ,104,1
S4 , S27 ,105,1
S4 , S28 ,106,2
S4 , S33 ,107,1
S4 , S34 ,108,1
S4 , S35 ,109,2
S4 , S39 ,110,2
S4 , S53 ,111,1
S4 , S54 ,112,1
S4 , S55 ,113,1
S4 , S59 ,114,1
S4 , S65 ,115,2
S4 , S69 ,116,2
S4 , S72 ,117,1
S4 , S73 ,118,4
S4 , S76 ,119,2
S4 , S77 ,120,1
S4 , S82 ,121,1
S4 , S84 ,122,1
S4 , S85 ,123,1
S4 , S88 ,124,1
S4 , S89 ,125,3
S4 , S90 ,126,2
S4 , S92 ,127,2
S4 , S96 ,128,1
S4 , S98 ,129,2
S5 , S9 ,130,1
S5 , S10 ,131,3
S5 , S11 ,132,1
S5 , S12 ,133,1
S5 , S34 ,134,2
S5 , S48 ,135,1
S5 , S51 ,136,2
S5 , S55 ,137,2
S5 , S56 ,138,2
S5 , S60 ,139,2
S5 , S62 ,140,2
S5 , S64 ,141,2
S5 , S67 ,142,5
S5 , S69 ,143,1
S5 , S72 ,144,2
S5 , S83 ,145,2
S7 , S8 ,146,4
S7 , S9 ,147,1
S7 , S10 ,148,3
S7 , S11 ,149,1
S7 , S12 ,150,1
S7 , S14 ,151,1
S7 , S15 ,152,5
S7 , S16 ,153,2
S7 , S17 ,154,3
S7 , S20 ,155,1
S7 , S21 ,156,1
S7 , S22 ,157,1
S7 , S25 ,158,2
S7 , S27 ,159,1
S7 , S28 ,160,4
S7 , S30 ,161,1
S7 , S34 ,162,3
S7 , S35 ,163,1
S7 , S38 ,164,3
S7 , S39 ,165,3
S7 , S41 ,166,2
S7 , S46 ,167,1
S7 , S48 ,168,1
S7 , S51 ,169,1
S7 , S55 ,170,2
S7 , S56 ,171,1
S7 , S60 ,172,2
S7 , S62 ,173,1
S7 , S64 ,174,4
S7 , S65 ,175,2
S7 , S67 ,176,3
S7 , S69 ,177,2
S7 , S72 ,178,3
S7 , S73 ,179,5
S7 , S81 ,180,2
S7 , S83 ,181,1
S7 , S85 ,182,3
S7 , S88 ,183,2
S7 , S89 ,184,2
S7 , S90 ,185,2
S7 , S92 ,186,1
S7 , S95 ,187,1
S7 , S96 ,188,4
S7 , S98 ,189,3
S8 , S9 ,190,1
S8 , S10 ,191,2
S8 , S11 ,192,3
S8 , S12 ,193,3
S8 , S13 ,194,2
S8 , S14 ,195,2
S8 , S15 ,196,4
S8 , S16 ,197,2
S8 , S17 ,198,5
S8 , S20 ,199,4
S8 , S21 ,200,1
S8 , S22 ,201,3
S8 , S24 ,202,1
S8 , S25 ,203,3
S8 , S27 ,204,1
S8 , S28 ,205,4
S8 , S30 ,206,3
S8 , S31 ,207,1
S8 , S32 ,208,2
S8 , S35 ,209,4
S8 , S37 ,210,1
S8 , S38 ,211,4
S8 , S39 ,212,6
S8 , S41 ,213,2
S8 , S43 ,214,1
S8 , S46 ,215,2
S8 , S48 ,216,1
S8 , S51 ,217,1
S8 , S56 ,218,1
S8 , S58 ,219,1
S8 , S59 ,220,1
S8 , S60 ,221,3
S8 , S62 ,222,1
S8 , S63 ,223,1
S8 , S64 ,224,2
S8 , S65 ,225,1
S8 , S67 ,226,3
S8 , S69 ,227,3
S8 , S70 ,228,2
S8 , S72 ,229,4
S8 , S73 ,230,6
S8 , S74 ,231,1
S8 , S75 ,232,1
S8 , S81 ,233,2
S8 , S83 ,234,1
S8 , S85 ,235,3
S8 , S88 ,236,3
S8 , S89 ,237,4
S8 , S90 ,238,2
S8 , S92 ,239,1
S8 , S95 ,240,2
S8 , S96 ,241,4
S8 , S97 ,242,2
S8 , S98 ,243,2
S9 , S10 ,244,3
S9 , S11 ,245,1
S9 , S12 ,246,1
S9 , S15 ,247,3
S9 , S16 ,248,1
S9 , S17 ,249,3
S9 , S18 ,250,1
S9 , S19 ,251,2
S9 , S23 ,252,1
S9 , S26 ,253,1
