Sentence , Sentance ,id, Relations Weight
S1 , S4 ,1,1
S1 , S9 ,2,2
S1 , S10 ,3,1
S1 , S12 ,4,1
S1 , S13 ,5,2
S1 , S15 ,6,1
S1 , S16 ,7,1
S1 , S18 ,8,1
S1 , S19 ,9,1
S1 , S32 ,10,1
S1 , S33 ,11,1
S1 , S58 ,12,1
S1 , S60 ,13,1
S1 , S70 ,14,1
S1 , S71 ,15,1
S1 , S77 ,16,1
S1 , S80 ,17,1
S1 , S85 ,18,1
S1 , S86 ,19,3
S2 , S51 ,20,2
S2 , S54 ,21,2
S2 , S86 ,22,3
S3 , S86 ,23,1
S4 , S6 ,24,2
S4 , S8 ,25,2
S4 , S9 ,26,1
S4 , S12 ,27,1
S4 , S13 ,28,1
S4 , S14 ,29,1
S4 , S15 ,30,4
S4 , S16 ,31,3
S4 , S17 ,32,3
S4 , S18 ,33,1
S4 , S20 ,34,1
S4 , S23 ,35,1
S4 , S37 ,36,1
S4 , S38 ,37,1
S4 , S39 ,38,1
S4 , S41 ,39,1
S4 , S42 ,40,1
S4 , S44 ,41,1
S4 , S47 ,42,1
S4 , S50 ,43,4
S4 , S54 ,44,1
S4 , S59 ,45,1
S4 , S63 ,46,3
S4 , S64 ,47,2
S4 , S69 ,48,1
S4 , S71 ,49,1
S4 , S72 ,50,1
S4 , S73 ,51,1
S4 , S74 ,52,1
S4 , S75 ,53,1
S4 , S78 ,54,1
S4 , S82 ,55,1
S4 , S85 ,56,3
S4 , S86 ,57,2
S4 , S87 ,58,1
S4 , S88 ,59,2
S4 , S90 ,60,1
S4 , S92 ,61,2
S4 , S93 ,62,1
S4 , S95 ,63,1
S4 , S96 ,64,4
S5 , S6 ,65,1
S5 , S8 ,66,1
S6 , S9 ,67,1
S6 , S11 ,68,1
S6 , S37 ,69,1
S6 , S38 ,70,1
S6 , S46 ,71,1
S6 , S51 ,72,2
S6 , S54 ,73,2
S6 , S63 ,74,1
S6 , S86 ,75,2
S8 , S9 ,76,6
S8 , S10 ,77,2
S8 , S11 ,78,1
S8 , S12 ,79,2
S8 , S13 ,80,5
S8 , S15 ,81,4
S8 , S16 ,82,2
S8 , S17 ,83,1
S8 , S18 ,84,2
S8 , S19 ,85,2
S8 , S23 ,86,1
S8 , S33 ,87,1
S8 , S35 ,88,1
S8 , S36 ,89,1
S8 , S38 ,90,2
S8 , S43 ,91,2
S8 , S46 ,92,1
S8 , S49 ,93,2
S8 , S54 ,94,1
S8 , S58 ,95,2
S8 , S59 ,96,1
S8 , S60 ,97,2
S8 , S64 ,98,1
S8 , S66 ,99,1
S8 , S67 ,100,2
S8 , S68 ,101,1
S8 , S69 ,102,1
S8 , S75 ,103,1
S8 , S76 ,104,1
S8 , S77 ,105,1
S8 , S80 ,106,5
S8 , S83 ,107,3
S8 , S85 ,108,3
S8 , S86 ,109,2
S8 , S87 ,110,1
S8 , S88 ,111,1
S8 , S95 ,112,1
S8 , S96 ,113,1
S9 , S10 ,114,2
S9 , S12 ,115,2
S9 , S13 ,116,4
S9 , S15 ,117,7
S9 , S16 ,118,6
S9 , S17 ,119,4
S9 , S18 ,120,4
S9 , S37 ,121,1
S9 , S50 ,122,6
S9 , S58 ,123,2
S9 , S60 ,124,2
S9 , S69 ,125,1
S9 , S71 ,126,1
S9 , S89 ,127,1
S9 , S96 ,128,6
S10 , S15 ,129,2
S10 , S16 ,130,2
S10 , S17 ,131,2
S10 , S18 ,132,1
S10 , S37 ,133,1
S10 , S50 ,134,3
S10 , S69 ,135,1
S10 , S71 ,136,1
S10 , S89 ,137,1
S10 , S96 ,138,3
S11 , S12 ,139,2
S11 , S14 ,140,1
S11 , S16 ,141,1
S11 , S17 ,142,1
S11 , S20 ,143,1
S11 , S37 ,144,1
S11 , S38 ,145,2
S11 , S39 ,146,1
S11 , S41 ,147,1
S11 , S42 ,148,1
S11 , S44 ,149,1
S11 , S47 ,150,1
S11 , S50 ,151,1
S11 , S59 ,152,1
S11 , S63 ,153,6
S11 , S64 ,154,2
S11 , S68 ,155,1
S11 , S69 ,156,1
S11 , S71 ,157,1
S11 , S72 ,158,1
S11 , S73 ,159,2
S11 , S75 ,160,1
S11 , S82 ,161,1
S11 , S85 ,162,3
S11 , S86 ,163,2
S11 , S87 ,164,1
S11 , S88 ,165,2
S11 , S90 ,166,3
S11 , S92 ,167,2
S11 , S93 ,168,3
S11 , S95 ,169,3
S11 , S96 ,170,1
S12 , S15 ,171,2
S12 , S16 ,172,2
S12 , S17 ,173,2
S12 , S18 ,174,1
S12 , S50 ,175,3
S12 , S69 ,176,1
S12 , S96 ,177,3
S13 , S15 ,178,4
S13 , S16 ,179,4
S13 , S17 ,180,4
S13 , S18 ,181,2
S13 , S23 ,182,1
S13 , S37 ,183,1
S13 , S50 ,184,6
S13 , S69 ,185,1
S13 , S71 ,186,1
S13 , S74 ,187,1
S13 , S78 ,188,1
S13 , S89 ,189,1
S13 , S96 ,190,6
S14 , S38 ,191,1
S14 , S46 ,192,1
S14 , S69 ,193,1
S15 , S16 ,194,4
S15 , S17 ,195,2
S15 , S18 ,196,3
S15 , S37 ,197,1
S15 , S50 ,198,3
S15 , S58 ,199,2
S15 , S60 ,200,2
S15 , S69 ,201,1
S15 , S71 ,202,1
S15 , S74 ,203,1
S15 , S78 ,204,1
S15 , S89 ,205,1
S15 , S96 ,206,3
S16 , S17 ,207,2
S16 , S18 ,208,4
S16 , S19 ,209,1
S16 , S32 ,210,1
S16 , S33 ,211,1
S16 , S38 ,212,1
S16 , S50 ,213,3
S16 , S58 ,214,3
S16 , S60 ,215,3
S16 , S63 ,216,3
S16 , S68 ,217,1
S16 , S70 ,218,1
S16 , S71 ,219,1
S16 , S73 ,220,1
S16 , S77 ,221,1
S16 , S80 ,222,1
S16 , S82 ,223,1
S16 , S85 ,224,1
S16 , S86 ,225,2
S16 , S90 ,226,2
S16 , S93 ,227,2
S16 , S95 ,228,2
S16 , S96 ,229,3
S17 , S18 ,230,2
S17 , S58 ,231,2
S17 , S60 ,232,2
S17 , S64 ,233,1
S17 , S76 ,234,1
S17 , S83 ,235,3
S17 , S92 ,236,1
S17 , S96 ,237,1
S18 , S50 ,238,3
S18 , S58 ,239,1
S18 , S60 ,240,1
S18 , S86 ,241,1
S18 , S96 ,242,3
S19 , S37 ,243,1
S19 , S57 ,244,2
S19 , S64 ,245,2
S19 , S65 ,246,2
S19 , S68 ,247,2
S19 , S69 ,248,1
S19 , S71 ,249,1
S19 , S76 ,250,2
S19 , S83 ,251,6
S19 , S89 ,252,1
S19 , S92 ,253,2
S19 , S96 ,254,2
S20 , S30 ,255,2
S20 , S49 ,256,2
S20 , S57 ,257,1
S20 , S58 ,258,2
S20 , S60 ,259,2
S20 , S65 ,260,1
S20 , S66 ,261,2
S20 , S67 ,262,2
S20 , S68 ,263,1
S20 , S69 ,264,1
S21 , S22 ,265,2
S21 , S37 ,266,1
S21 , S40 ,267,2
S21 , S57 ,268,3
S21 , S65 ,269,1
S21 , S68 ,270,1
S21 , S69 ,271,1
S21 , S71 ,272,1
S21 , S89 ,273,1
S22 , S37 ,274,1
S22 , S40 ,275,1
S22 , S46 ,276,1
S22 , S57 ,277,3
S22 , S64 ,278,1
S22 , S65 ,279,1
S22 , S68 ,280,1
S22 , S69 ,281,1
S22 , S71 ,282,1
S22 , S77 ,283,1
S22 , S89 ,284,1
S23 , S26 ,285,1
S23 , S40 ,286,2
S23 , S46 ,287,1
S23 , S57 ,288,3
S23 , S64 ,289,1
S23 , S74 ,290,1
S23 , S77 ,291,1
S23 , S78 ,292,1
S24 , S30 ,293,1
S24 , S37 ,294,1
S24 , S49 ,295,1
S24 , S57 ,296,1
S24 , S58 ,297,1
S24 , S60 ,298,1
S24 , S63 ,299,1
S24 , S65 ,300,1
S24 , S66 ,301,1
S24 , S67 ,302,1
S24 , S68 ,303,1
S24 , S77 ,304,1
S25 , S57 ,305,1
S25 , S65 ,306,1
