Source,Target, id, Weight
S1 , S2 ,1,2
S1 , S5 ,2,2
S1 , S7 ,3,2
S1 , S11 ,4,2
S1 , S16 ,5,7
S1 , S17 ,6,4
S1 , S18 ,7,4
S1 , S19 ,8,1
S1 , S20 ,9,1
S1 , S21 ,10,1
S1 , S22 ,11,1
S1 , S23 ,12,1
S1 , S25 ,13,1
S1 , S26 ,14,2
S1 , S28 ,15,9
S1 , S29 ,16,2
S1 , S30 ,17,3
S1 , S31 ,18,2
S1 , S32 ,19,3
S1 , S33 ,20,1
S1 , S35 ,21,2
S1 , S40 ,22,1
S1 , S41 ,23,2
S1 , S42 ,24,3
S1 , S43 ,25,1
S1 , S45 ,26,3
S1 , S46 ,27,9
S1 , S47 ,28,2
S1 , S48 ,29,1
S1 , S49 ,30,1
S1 , S50 ,31,2
S1 , S53 ,32,1
S1 , S54 ,33,2
S1 , S55 ,34,1
S1 , S57 ,35,2
S1 , S58 ,36,1
S1 , S59 ,37,1
S1 , S60 ,38,1
S1 , S61 ,39,1
S1 , S62 ,40,3
S1 , S63 ,41,2
S1 , S64 ,42,1
S1 , S65 ,43,1
S1 , S66 ,44,1
S1 , S67 ,45,1
S1 , S70 ,46,3
S1 , S71 ,47,2
S1 , S74 ,48,3
S1 , S77 ,49,3
S1 , S79 ,50,1
S1 , S80 ,51,2
S1 , S81 ,52,1
S1 , S82 ,53,6
S1 , S83 ,54,2
S1 , S84 ,55,2
S1 , S86 ,56,1
S1 , S89 ,57,3
S1 , S93 ,58,2
S1 , S94 ,59,1
S1 , S96 ,60,1
S1 , S97 ,61,1
S2 , S5 ,62,2
S2 , S11 ,63,3
S2 , S16 ,64,2
S2 , S17 ,65,1
S2 , S18 ,66,3
S2 , S19 ,67,1
S2 , S20 ,68,3
S2 , S21 ,69,1
S2 , S22 ,70,2
S2 , S23 ,71,1
S2 , S25 ,72,1
S2 , S28 ,73,3
S2 , S31 ,74,1
S2 , S33 ,75,2
S2 , S40 ,76,2
S2 , S42 ,77,3
S2 , S43 ,78,2
S2 , S45 ,79,1
S2 , S46 ,80,3
S2 , S47 ,81,2
S2 , S48 ,82,1
S2 , S49 ,83,1
S2 , S50 ,84,2
S2 , S53 ,85,1
S2 , S54 ,86,3
S2 , S55 ,87,1
S2 , S57 ,88,2
S2 , S58 ,89,1
S2 , S59 ,90,2
S2 , S60 ,91,1
S2 , S61 ,92,1
S2 , S62 ,93,3
S2 , S64 ,94,1
S2 , S66 ,95,2
S2 , S67 ,96,1
S2 , S71 ,97,3
S2 , S74 ,98,1
S2 , S77 ,99,1
S2 , S81 ,100,1
S2 , S82 ,101,1
S2 , S83 ,102,1
S2 , S84 ,103,1
S2 , S86 ,104,1
S2 , S89 ,105,2
S2 , S94 ,106,1
S2 , S96 ,107,2
S2 , S97 ,108,2
S3 , S5 ,109,1
S3 , S8 ,110,2
S3 , S12 ,111,1
S3 , S14 ,112,1
S3 , S25 ,113,1
S3 , S34 ,114,1
S3 , S42 ,115,2
S3 , S52 ,116,1
S3 , S63 ,117,1
S3 , S65 ,118,1
S3 , S67 ,119,1
S3 , S74 ,120,1
S3 , S76 ,121,1
S3 , S78 ,122,1
S3 , S89 ,123,2
S3 , S91 ,124,1
S3 , S96 ,125,1
S5 , S6 ,126,1
S5 , S8 ,127,2
S5 , S10 ,128,1
S5 , S11 ,129,1
S5 , S14 ,130,2
S5 , S16 ,131,4
S5 , S17 ,132,1
S5 , S18 ,133,1
S5 , S19 ,134,1
S5 , S20 ,135,4
S5 , S22 ,136,2
S5 , S23 ,137,1
S5 , S24 ,138,2
S5 , S25 ,139,3
S5 , S28 ,140,3
S5 , S31 ,141,1
S5 , S32 ,142,1
S5 , S33 ,143,2
S5 , S35 ,144,1
S5 , S39 ,145,2
S5 , S40 ,146,1
S5 , S42 ,147,2
S5 , S43 ,148,3
S5 , S47 ,149,2
S5 , S53 ,150,1
S5 , S54 ,151,2
S5 , S57 ,152,2
S5 , S59 ,153,1
S5 , S60 ,154,1
S5 , S62 ,155,1
S5 , S64 ,156,1
S5 , S66 ,157,2
S5 , S67 ,158,2
S5 , S68 ,159,2
S5 , S69 ,160,1
S5 , S71 ,161,2
S5 , S72 ,162,1
