Source ,Target,id,Weight
S1 , S4 ,1,3
S1 , S5 ,2,1
S1 , S6 ,3,3
S1 , S7 ,4,2
S1 , S9 ,5,1
S1 , S10 ,6,2
S1 , S12 ,7,1
S1 , S13 ,8,1
S1 , S14 ,9,3
S1 , S15 ,10,2
S1 , S16 ,11,2
S1 , S19 ,12,1
S1 , S21 ,13,1
S1 , S23 ,14,1
S1 , S24 ,15,1
S1 , S27 ,16,2
S1 , S28 ,17,3
S1 , S29 ,18,2
S1 , S33 ,19,2
S1 , S34 ,20,1
S1 , S35 ,21,1
S1 , S38 ,22,1
S1 , S39 ,23,2
S1 , S40 ,24,1
S1 , S41 ,25,1
S1 , S42 ,26,1
S1 , S43 ,27,1
S1 , S54 ,28,1
S1 , S55 ,29,1
S1 , S64 ,30,1
S1 , S66 ,31,1
S1 , S68 ,32,1
S1 , S69 ,33,1
S1 , S71 ,34,2
S1 , S72 ,35,1
S1 , S74 ,36,2
S1 , S76 ,37,4
S1 , S77 ,38,1
S1 , S80 ,39,4
S1 , S82 ,40,1
S1 , S85 ,41,2
S1 , S90 ,42,1
S1 , S91 ,43,1
S1 , S92 ,44,1
S1 , S95 ,45,1
S2 , S3 ,46,2
S2 , S19 ,47,1
S2 , S24 ,48,1
S2 , S39 ,49,1
S2 , S70 ,50,2
S2 , S91 ,51,2
S3 , S4 ,52,1
S3 , S5 ,53,1
S3 , S6 ,54,1
S3 , S7 ,55,2
S3 , S8 ,56,1
S3 , S10 ,57,1
S3 , S11 ,58,1
S3 , S12 ,59,1
S3 , S13 ,60,1
S3 , S14 ,61,1
S3 , S17 ,62,3
S3 , S24 ,63,1
S3 , S27 ,64,1
S3 , S28 ,65,2
S3 , S29 ,66,4
S3 , S30 ,67,2
S3 , S31 ,68,4
S3 , S32 ,69,1
S3 , S33 ,70,1
S3 , S36 ,71,4
S3 , S37 ,72,1
S3 , S39 ,73,1
S3 , S43 ,74,1
S3 , S47 ,75,1
S3 , S48 ,76,1
S3 , S55 ,77,2
S3 , S58 ,78,1
S3 , S64 ,79,1
S3 , S69 ,80,3
S3 , S71 ,81,2
S3 , S74 ,82,4
S3 , S76 ,83,1
S3 , S78 ,84,1
S3 , S80 ,85,3
S3 , S85 ,86,1
S3 , S92 ,87,2
S3 , S98 ,88,1
S4 , S11 ,89,3
S4 , S12 ,90,3
S4 , S14 ,91,1
S4 , S15 ,92,2
S4 , S16 ,93,1
S4 , S19 ,94,1
S4 , S20 ,95,1
S4 , S25 ,96,4
S4 , S27 ,97,3
S4 , S28 ,98,1
S4 , S29 ,99,1
S4 , S30 ,100,1
S4 , S31 ,101,1
S4 , S33 ,102,2
S4 , S36 ,103,1
S4 , S38 ,104,2
S4 , S39 ,105,2
S4 , S40 ,106,2
S4 , S42 ,107,1
S4 , S45 ,108,1
S4 , S46 ,109,1
S4 , S49 ,110,1
S4 , S50 ,111,1
S4 , S52 ,112,2
S4 , S53 ,113,1
S4 , S55 ,114,2
S4 , S56 ,115,1
S4 , S58 ,116,1
S4 , S60 ,117,2
S4 , S63 ,118,1
S4 , S67 ,119,1
S4 , S68 ,120,1
