Sentence , Sentance ,id, Relations Weight
S1 , S2 ,1,1
S1 , S3 ,2,1
S1 , S4 ,3,1
S1 , S12 ,4,2
S1 , S17 ,5,1
S1 , S34 ,6,1
S1 , S90 ,7,1
S2 , S3 ,8,1
S2 , S7 ,9,1
S2 , S8 ,10,1
S2 , S9 ,11,1
S2 , S10 ,12,2
S2 , S11 ,13,2
S2 , S12 ,14,3
S2 , S13 ,15,3
S2 , S14 ,16,1
S2 , S15 ,17,1
S2 , S17 ,18,1
S2 , S23 ,19,3
S2 , S24 ,20,1
S2 , S25 ,21,1
S2 , S26 ,22,1
S2 , S29 ,23,2
S2 , S31 ,24,2
S2 , S35 ,25,1
S2 , S37 ,26,1
S2 , S40 ,27,1
S2 , S41 ,28,1
S2 , S45 ,29,1
S2 , S46 ,30,1
S2 , S48 ,31,1
S2 , S49 ,32,2
S2 , S50 ,33,1
S2 , S54 ,34,1
S2 , S55 ,35,2
S2 , S57 ,36,2
S2 , S59 ,37,1
S2 , S61 ,38,1
S2 , S66 ,39,1
S2 , S67 ,40,1
S2 , S68 ,41,1
S2 , S70 ,42,1
S2 , S72 ,43,1
S2 , S75 ,44,2
S2 , S76 ,45,1
S2 , S77 ,46,1
S2 , S78 ,47,1
S2 , S81 ,48,2
S2 , S83 ,49,1
S2 , S84 ,50,1
S2 , S85 ,51,2
S2 , S86 ,52,1
S2 , S89 ,53,1
S2 , S90 ,54,1
S2 , S94 ,55,1
S3 , S7 ,56,1
S3 , S8 ,57,1
S3 , S9 ,58,1
S3 , S10 ,59,2
S3 , S11 ,60,1
S3 , S13 ,61,2
S3 , S14 ,62,1
S3 , S15 ,63,1
S3 , S17 ,64,1
S3 , S23 ,65,3
S3 , S24 ,66,1
S3 , S25 ,67,1
S3 , S31 ,68,1
S3 , S35 ,69,1
S3 , S46 ,70,1
S3 , S50 ,71,1
S3 , S55 ,72,1
S3 , S59 ,73,1
S3 , S61 ,74,1
S3 , S68 ,75,1
S3 , S72 ,76,1
S3 , S81 ,77,2
S3 , S85 ,78,1
S3 , S89 ,79,1
S3 , S90 ,80,1
S4 , S55 ,81,1
S5 , S6 ,82,1
S5 , S7 ,83,1
S5 , S12 ,84,2
S5 , S67 ,85,1
S5 , S73 ,86,1
S6 , S7 ,87,2
S6 , S9 ,88,2
S6 , S10 ,89,1
S6 , S11 ,90,4
S6 , S12 ,91,3
S6 , S13 ,92,4
S6 , S14 ,93,1
S6 , S15 ,94,1
S6 , S17 ,95,2
S6 , S18 ,96,1
S6 , S23 ,97,1
S6 , S26 ,98,1
S6 , S29 ,99,2
S6 , S30 ,100,1
S6 , S31 ,101,1
S6 , S35 ,102,1
S6 , S37 ,103,1
S6 , S38 ,104,2
S6 , S39 ,105,1
S6 , S40 ,106,1
S6 , S41 ,107,1
S6 , S42 ,108,2
S6 , S44 ,109,2
S6 , S47 ,110,1
S6 , S48 ,111,1
S6 , S49 ,112,1
S6 , S50 ,113,1
S6 , S52 ,114,1
S6 , S53 ,115,2
S6 , S54 ,116,2
S6 , S55 ,117,2
S6 , S56 ,118,1
S6 , S57 ,119,1
S6 , S58 ,120,1
S6 , S59 ,121,2
S6 , S60 ,122,1
S6 , S61 ,123,1
S6 , S62 ,124,2
S6 , S63 ,125,1
S6 , S64 ,126,2
S6 , S65 ,127,1
S6 , S67 ,128,1
S6 , S68 ,129,1
S6 , S70 ,130,1
S6 , S71 ,131,1
S6 , S72 ,132,2
S6 , S74 ,133,2
S6 , S75 ,134,5
S6 , S76 ,135,1
S6 , S77 ,136,1
S6 , S78 ,137,2
S6 , S81 ,138,1
S6 , S82 ,139,2
S6 , S83 ,140,1
S6 , S84 ,141,1
S6 , S85 ,142,1
S6 , S92 ,143,1
S6 , S94 ,144,1
S6 , S99 ,145,1
S7 , S11 ,146,3
S7 , S12 ,147,1
S7 , S13 ,148,2
S7 , S25 ,149,2
S7 , S31 ,150,1
S7 , S33 ,151,1
S7 , S41 ,152,2
S7 , S45 ,153,1
S7 , S48 ,154,2
S7 , S49 ,155,1
S7 , S55 ,156,3
S7 , S57 ,157,2
S7 , S59 ,158,1
S7 , S62 ,159,2
S7 , S64 ,160,2
S7 , S66 ,161,1
S7 , S67 ,162,2
S7 , S70 ,163,2
S7 , S71 ,164,1
S7 , S72 ,165,1
S7 , S73 ,166,1
S7 , S74 ,167,2
S7 , S75 ,168,1
S7 , S76 ,169,2
S7 , S77 ,170,3
S7 , S78 ,171,3
S7 , S82 ,172,2
S7 , S83 ,173,1
S7 , S84 ,174,2
S7 , S85 ,175,3
S7 , S86 ,176,1
S7 , S89 ,177,1
S7 , S90 ,178,1
S7 , S92 ,179,2
S7 , S94 ,180,1
S7 , S99 ,181,1
S8 , S11 ,182,1
S8 , S12 ,183,1
S8 , S13 ,184,2
S8 , S15 ,185,1
S8 , S16 ,186,1
S8 , S17 ,187,1
S8 , S19 ,188,1
S8 , S24 ,189,1
S8 , S44 ,190,1
S8 , S59 ,191,2
S8 , S88 ,192,1
S8 , S90 ,193,1
S8 , S93 ,194,1
S9 , S11 ,195,1
S9 , S13 ,196,2
S9 , S19 ,197,2
S9 , S45 ,198,1
S9 , S47 ,199,1
S9 , S48 ,200,1
S9 , S49 ,201,1
S9 , S55 ,202,2
S9 , S59 ,203,1
S9 , S62 ,204,2
S9 , S64 ,205,1
S9 , S70 ,206,2
S9 , S74 ,207,1
S9 , S82 ,208,1
S9 , S84 ,209,1
S9 , S86 ,210,1
S9 , S92 ,211,1
S9 , S94 ,212,1
S9 , S99 ,213,1
S10 , S11 ,214,1
S10 , S13 ,215,2
S10 , S15 ,216,1
S10 , S26 ,217,1
S10 , S29 ,218,2
S10 , S32 ,219,1
S10 , S37 ,220,1
S10 , S40 ,221,1
S10 , S42 ,222,1
S10 , S45 ,223,1
S10 , S48 ,224,1
S10 , S49 ,225,2
S10 , S54 ,226,1
S10 , S55 ,227,1
S10 , S59 ,228,1
S10 , S62 ,229,1
S10 , S63 ,230,1
S10 , S64 ,231,1
S10 , S70 ,232,1
S10 , S74 ,233,1
S10 , S75 ,234,2
S10 , S82 ,235,1
S10 , S84 ,236,1
S10 , S86 ,237,1
S10 , S92 ,238,1
S11 , S13 ,239,2
S11 , S15 ,240,1
S11 , S26 ,241,1
S11 , S29 ,242,2
S11 , S31 ,243,2
S11 , S35 ,244,3
S11 , S37 ,245,1
S11 , S38 ,246,5
S11 , S40 ,247,1
S11 , S44 ,248,2
S11 , S45 ,249,1
S11 , S48 ,250,3
S11 , S49 ,251,2
S11 , S52 ,252,1
S11 , S53 ,253,1
S11 , S54 ,254,1
S11 , S55 ,255,1
S11 , S59 ,256,2
S11 , S62 ,257,3
S11 , S64 ,258,3
S11 , S68 ,259,1
S11 , S69 ,260,1
S11 , S70 ,261,2
S11 , S74 ,262,5
S11 , S75 ,263,2
S11 , S82 ,264,3
S11 , S84 ,265,1
S11 , S85 ,266,2
S11 , S86 ,267,1
S11 , S89 ,268,1
S11 , S90 ,269,2
S11 , S92 ,270,3
S12 , S13 ,271,1
S12 , S24 ,272,1
S12 , S32 ,273,1
S12 , S33 ,274,1
S12 , S34 ,275,1
S12 , S55 ,276,2
S12 , S56 ,277,1
S12 , S59 ,278,1
S12 , S60 ,279,3
S12 , S62 ,280,2
S12 , S64 ,281,1
S12 , S68 ,282,1
S12 , S69 ,283,1
S12 , S72 ,284,1
S12 , S74 ,285,1
S12 , S82 ,286,1
S12 , S92 ,287,1
S12 , S97 ,288,1
S13 , S19 ,289,2
S13 , S21 ,290,1
S13 , S22 ,291,3
S13 , S24 ,292,2
S13 , S25 ,293,1
S13 , S26 ,294,1
S13 , S29 ,295,2
S13 , S32 ,296,1
S13 , S35 ,297,1
S13 , S37 ,298,1
S13 , S40 ,299,1
S13 , S45 ,300,1
S13 , S46 ,301,1
S13 , S48 ,302,1
S13 , S49 ,303,2
S13 , S54 ,304,1
S13 , S55 ,305,1
S13 , S59 ,306,2
S13 , S61 ,307,1
S13 , S62 ,308,3
S13 , S64 ,309,4
S13 , S67 ,310,1
S13 , S70 ,311,1
S13 , S71 ,312,3
S13 , S73 ,313,2
S13 , S74 ,314,3
S13 , S75 ,315,2
S13 , S76 ,316,1
S13 , S78 ,317,2
S13 , S79 ,318,1
S13 , S82 ,319,3
S13 , S83 ,320,1
S13 , S84 ,321,2
S13 , S85 ,322,1
S13 , S86 ,323,1
S13 , S90 ,324,2
S13 , S92 ,325,3
S13 , S95 ,326,1
S14 , S45 ,327,1
S14 , S48 ,328,1
S14 , S49 ,329,1
S14 , S55 ,330,1
S14 , S59 ,331,1
S14 , S62 ,332,1
S14 , S64 ,333,1
S14 , S70 ,334,1
S14 , S74 ,335,1
S14 , S82 ,336,1
S14 , S84 ,337,1
S14 , S86 ,338,1
S14 , S92 ,339,1
S15 , S39 ,340,1
S15 , S42 ,341,2
S15 , S45 ,342,1
S15 , S48 ,343,1
S15 , S49 ,344,1
S15 , S51 ,345,1
S15 , S55 ,346,1
S15 , S59 ,347,1
S15 , S62 ,348,1
S15 , S64 ,349,2
S15 , S70 ,350,1
S15 , S74 ,351,1
S15 , S82 ,352,2
S15 , S84 ,353,1
S15 , S85 ,354,1
S15 , S86 ,355,1
S15 , S89 ,356,1
S15 , S92 ,357,1
S15 , S93 ,358,2
S16 , S17 ,359,1
S16 , S44 ,360,1
S17 , S19 ,361,3
S17 , S24 ,362,1
S17 , S35 ,363,1
S17 , S44 ,364,3
S17 , S59 ,365,3
S17 , S62 ,366,1
S17 , S64 ,367,1
S17 , S72 ,368,1
S17 , S74 ,369,1
S17 , S82 ,370,1
S17 , S88 ,371,1
S17 , S90 ,372,1
S17 , S92 ,373,1
S17 , S93 ,374,1
S18 , S59 ,375,1
S18 , S62 ,376,1
S18 , S64 ,377,1
S18 , S74 ,378,1
S18 , S82 ,379,1
S18 , S92 ,380,1
S19 , S22 ,381,2
S19 , S24 ,382,1
S19 , S27 ,383,2
S19 , S31 ,384,2
S19 , S35 ,385,2
S19 , S38 ,386,2
S19 , S42 ,387,1
