Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,नाम,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0010136121273419672,0,0.0,0,0.0
1,संख्या,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0010136121273419672,1,0.0,0,0.0
2,झील,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0010136121273419672,2,0.0,0,0.0
3,स्मारक,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0010136121273419672,3,0.0,0,0.0
4,खरीद,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0010136121273419672,4,0.0,0,0.0
5,लोहे,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0010136121273419672,5,0.0,0,0.0
6,स्थितियों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0010136121273419672,6,0.0,0,0.0
7,लाख,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0010136121273419672,7,0.0,0,0.0
8,साल,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0010136121273419672,8,0.0,0,0.0
9,स्रोत,1,0,1,1.0,1.0,0.0,4.0,2.5416666666666665,0.0,0.0057471264,0.0057471264,154,0.003848904380522082,9,0.0,0,0.08650541932356233
10,दक्षिण,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0010136121273419672,10,0.0,0,0.0
11,स्मृति,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0010136121273419672,11,0.0,0,0.0
12,हाथ,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0010136121273419672,12,0.0,0,0.0
13,संस्कृती,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0010136121273419672,13,0.0,0,0.0
14,स्टेशन,2,2,4,4.0,2.0,2.0,1.0,1.0,0.0,0.00862069,0.00862069,99,0.003981376378361433,14,1.0,1,0.012357130893398202
15,प्रकाश,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0010136121273419672,15,0.0,0,0.0
16,बुनाई,1,0,1,1.0,1.0,0.0,9.0,4.361111111111111,0.0,0.0057471264,0.0057471264,125,0.003766585092680846,16,0.0,0,0.08996253273169438
17,संस्कृति,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0010136121273419672,17,0.0,0,0.0
18,हस्तलिपियों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0010136121273419672,18,0.0,0,0.0
19,रास्तों,1,0,1,1.0,1.0,0.0,8.0,5.138888888888889,0.0,0.0057471264,0.0057471264,181,0.002843291187592721,16,0.0,0,0.1020057803774271
20,मुंबई,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0010136121273419672,19,0.0,0,0.0
21,प्रदान,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0010136121273419672,20,0.0,0,0.0
22,जौहरी,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0010136121273419672,21,0.0,0,0.0
23,भूमिका,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0010136121273419672,22,0.0,0,0.0
24,मुकुट,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0010136121273419672,23,0.0,0,0.0
25,ब्रिटिशों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0010136121273419672,24,0.0,0,0.0
26,नहीं,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0010136121273419672,25,0.0,0,0.0
27,टैक्सी,1,0,1,1.0,1.0,0.0,2.0,1.75,0.0,0.0057471264,0.0057471264,74,0.0045576632054272915,26,0.0,0,0.01281628126666244
28,किमी,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0010136121273419672,27,0.0,0,0.0
29,पर्यटक,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0010136121273419672,28,0.0,0,0.0
30,राजस्थान,1,0,1,1.0,1.0,0.0,9.0,6.0,0.0,0.0057471264,0.0057471264,181,0.003550232516635103,16,0.0,0,0.02741492495708044
31,घास,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0010136121273419672,29,0.0,0,0.0
32,सागर,1,0,1,2.0,2.0,0.0,1.0,1.0,0.0,0.0057471264,0.0057471264,78,0.00694711147089194,30,0.0,0,0.004000105857396876
33,वेल्स,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0010136121273419672,31,0.0,0,0.0
34,अभिकल्प,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0010136121273419672,32,0.0,0,0.0
35,बंधेज,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0010136121273419672,33,0.0,0,0.0
36,जीवाश्मों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0010136121273419672,34,0.0,0,0.0
37,नमूनों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0010136121273419672,35,0.0,0,0.0
38,विश्व,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0010136121273419672,36,0.0,0,0.0
39,संकल्पना,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0057471264,0.0057471264,32,0.00694711147089194,37,0.0,0,0.004000105857396876
40,हॉल,1,0,1,1.0,1.0,0.0,3.0,2.6666666666666665,0.0,0.0057471264,0.0057471264,185,0.003695057027282348,9,0.0,0,0.05176745044181102
41,महावर,1,0,1,1.0,1.0,0.0,2.0,1.5,0.0,0.0057471264,0.0057471264,100,0.005354145960582174,38,0.0,0,0.006545944218180252
42,वर्णन,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0010136121273419672,39,0.0,0,0.0
43,टालों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0010136121273419672,40,0.0,0,0.0
44,समय,5,5,10,10.0,5.0,5.0,1.0,1.0,3.7,0.028735632,0.028735632,73,0.010241634949341627,41,0.4166666666666667,15,1.0
45,दौरान,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0010136121273419672,42,0.0,0,0.0
46,प्रभाव,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0010136121273419672,43,0.0,0,0.0
47,सरहद,1,0,1,1.0,1.0,0.0,4.0,2.5416666666666665,0.0,0.0057471264,0.0057471264,154,0.003848904380522082,9,0.0,0,0.08650541932356233
48,रंगाई,1,0,1,1.0,1.0,0.0,9.0,4.361111111111111,0.0,0.0057471264,0.0057471264,125,0.003766585092680846,16,0.0,0,0.08996253273169438
49,जाति,4,0,4,4.0,4.0,0.0,5.0,3.388888888888889,46.53333333333336,0.014367816,0.014367816,193,0.006433288078070514,16,0.16666666666666666,1,0.5250507294752917
50,देश,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0010136121273419672,44,0.0,0,0.0
51,संगमरमर,1,0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0057471264,0.0057471264,98,0.00694711147089194,45,0.0,0,0.004000105857396876
52,नेहरू,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0010136121273419672,46,0.0,0,0.0
53,शिल्पकार,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0010136121273419672,47,0.0,0,0.0
54,समय,0,5,5,5.0,0.0,5.0,2.0,1.375,1.35,0.01724138,0.01724138,73,0.006065130331334432,41,0.4,4,0.5899369889565358
55,बाजार,1,0,1,1.0,1.0,0.0,4.0,2.5416666666666665,0.0,0.0057471264,0.0057471264,154,0.003848904380522082,9,0.0,0,0.08650541932356233
56,राजकुमार,1,0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0057471264,0.0057471264,97,0.00694711147089194,48,0.0,0,0.004000105857396876
57,गैलरी,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0010136121273419672,49,0.0,0,0.0
58,जानवरों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0010136121273419672,50,0.0,0,0.0
59,राज,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0010136121273419672,51,0.0,0,0.0
60,अभ्यारण्य,1,0,1,1.0,1.0,0.0,4.0,2.5416666666666665,0.0,0.0057471264,0.0057471264,154,0.003848904380522082,9,0.0,0,0.08650541932356233
61,नवंबर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0.0010136121273419672,52,0.0,0,0.0
62,चिड़िया,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0057471264,0.0057471264,119,0.00694711147089194,53,0.0,0,0.004000105857396876
63,राम,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0.0010136121273419672,54,0.0,0,0.0
64,रोड,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0010136121273419672,55,0.0,0,0.0
65,सागर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0010136121273419672,56,0.0,0,0.0
66,द्वीप,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0010136121273419672,57,0.0,0,0.0
67,उत्तर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0010136121273419672,58,0.0,0,0.0
68,रिक्शे,1,0,1,1.0,1.0,0.0,2.0,1.75,0.0,0.0057471264,0.0057471264,74,0.0045576632054272915,26,0.0,0,0.01281628126666244
69,उद्योग,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0.0010136121273419672,59,0.0,0,0.0
70,चोटी,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0057471264,0.0057471264,50,0.0021472348866730237,60,0.0,0,0.007377511164230652
71,चमड़े,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0010136121273419672,61,0.0,0,0.0
72,पोल,4,0,4,4.0,4.0,0.0,5.0,3.388888888888889,46.53333333333336,0.014367816,0.014367816,193,0.006433288078070514,16,0.16666666666666666,1,0.5250507294752917
73,मोची,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0010136121273419672,62,0.0,0,0.0
74,बीकानेर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0010136121273419672,63,0.0,0,0.0
75,मुख,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0010136121273419672,64,0.0,0,0.0
76,निगम,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.0010136121273419672,65,0.0,0,0.0
77,आलेख,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0.0010136121273419672,66,0.0,0,0.0
78,खरीददारी,1,0,1,1.0,1.0,0.0,9.0,4.361111111111111,0.0,0.0057471264,0.0057471264,125,0.003766585092680846,16,0.0,0,0.08996253273169438
79,संगीत,1,0,1,1.0,1.0,0.0,6.0,4.0,0.0,0.0057471264,0.0057471264,193,0.0025668574567682765,16,0.0,0,0.11448925040565543
80,मिट्टी,0,1,1,1.0,0.0,1.0,2.0,1.5,0.0,0.0057471264,0.0057471264,115,0.005354145960582174,67,0.0,0,0.006545944218180252
81,साथ,1,0,1,1.0,1.0,0.0,9.0,4.361111111111111,0.0,0.0057471264,0.0057471264,125,0.003766585092680846,16,0.0,0,0.08996253273169438
82,विलासिता,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.0010136121273419672,68,0.0,0,0.0
