Source,Target,id,Weight
26,26,1,1
29,82,2,1
32,156,3,1
34,89,4,1
34,158,5,1
35,132,6,1
41,41,7,1
41,180,8,1
52,52,9,1
54,53,10,1
75,19,11,1
75,23,12,1
75,45,13,1
75,49,14,1
75,73,15,1
75,111,16,1
75,121,17,1
75,135,18,1
75,150,19,1
75,201,20,1
89,190,21,1
99,136,22,2
102,102,23,1
102,143,24,1
105,175,25,1
107,1,26,1
119,119,27,1
119,203,28,1
123,214,29,1
134,38,30,1
134,125,31,1
134,126,32,1
134,242,33,1
143,140,34,1
143,145,35,1
145,171,36,1
147,16,37,1
147,32,38,1
147,36,39,1
147,105,40,1
147,112,41,1
147,149,42,1
147,155,43,1
147,161,44,1
147,165,45,1
147,208,46,1
147,229,47,1
147,233,48,1
147,240,49,1
147,244,50,1
147,253,51,1
153,153,52,1
154,157,53,1
160,63,54,1
165,70,55,1
165,90,56,1
165,103,57,1
165,127,58,1
165,163,59,1
165,178,60,1
165,195,61,1
165,198,62,1
174,120,63,1
176,67,64,1
179,199,65,1
191,56,66,1
191,91,67,1
191,212,68,1
192,80,69,1
192,116,70,1
192,192,71,1
203,203,72,1
212,43,73,1
212,57,74,1
212,168,75,1
212,184,76,1
212,197,77,1
212,206,78,1
212,209,79,2
212,238,80,1
212,241,81,1
219,51,82,1
219,223,83,1
223,46,84,1
223,92,85,1
223,183,86,1
224,108,87,1
227,204,88,1
236,236,89,1
239,192,90,1
243,127,91,1
243,178,92,1
243,191,93,1
243,195,94,1
243,198,95,1
246,203,96,1
250,3,97,1
250,31,98,1
250,35,99,1
250,56,100,1
250,71,101,1
250,88,102,1
250,106,103,1
250,117,104,1
250,130,105,1
250,146,106,1
250,162,107,1
250,196,108,1
250,207,109,1
250,228,110,1
250,257,111,1
253,16,112,1
253,32,113,1
253,36,114,1
253,105,115,1
253,112,116,1
253,149,117,1
253,155,118,1
253,161,119,1
253,165,120,1
253,208,121,1
253,229,122,1
253,233,123,1
253,240,124,1
253,244,125,1
253,253,126,1
