Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,naukA,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,0,0.0,0,0.0
1,tarIkA,3.0,1.9565217391304348,10.5,48,1,1,2,2.0,1.0,1.0,0.00625,0.00625,0.00492347795088814,1,0.0,0,0.19049336615482654
2,smAraka,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,2,0.0,0,0.0
3,vaMsha,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,3,0.0,0,0.0
4,jilA,5.0,2.8,99.0,25,1,3,4,4.0,1.0,3.0,0.010416667,0.010416667,0.00977874493861094,4,0.0,0,0.09264020327561724
5,saMracanA,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,5,0.0,0,0.0
6,jharanA,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,6,0.0,0,0.0
7,pArasI,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,7,0.0,0,0.0
8,ghaTanA,1.0,1.0,1.0,6,0,2,2,2.0,0.0,2.0,0.00625,0.00625,0.007534484586998312,8,0.0,0,0.009959641923963461
9,shuShkatA,3.0,2.0555555555555554,0.6363636363636362,141,2,0,2,2.0,2.0,0.0,0.00625,0.00625,0.002932730346133566,9,0.0,0,0.3206410693165521
10,varSha,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,10,0.0,0,0.0
11,nakshe,0.0,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,11,0.0,0,0.0
12,talAshA,0.0,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,12,0.0,0,0.0
13,sevA,0.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,13,0.0,0,0.0
14,kavi,0.0,0.0,0.0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,14,0.0,0,0.0
15,pUjA,0.0,0.0,0.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,15,0.0,0,0.0
16,jalamArga,6.0,3.5142857142857142,44.33333333333332,58,3,1,4,4.0,3.0,1.0,0.010416667,0.010416667,0.005768681630983594,4,0.3333333333333333,2,0.12749330056310088
17,khadAnoM,4.0,2.6486486486486487,0.0,171,1,0,1,1.0,1.0,0.0,0.004166667,0.004166667,0.0027246521503781246,16,0.0,0,0.14079485200571115
18,ursa,0.0,0.0,0.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,17,0.0,0,0.0
19,sAMjhI,5.0,3.3142857142857145,99.0,25,3,0,3,3.0,3.0,0.0,0.008333334,0.008333334,0.006795018805104228,4,0.0,0,0.06922354028522996
20,saundarya,3.0,2.0555555555555554,0.6363636363636362,141,2,0,2,2.0,2.0,0.0,0.00625,0.00625,0.002932730346133566,9,0.0,0,0.3206410693165521
21,mArga,5.0,2.6857142857142855,150.66666666666666,58,1,3,4,4.0,1.0,3.0,0.010416667,0.010416667,0.005809061836231982,4,0.3333333333333333,2,0.17385586518468246
22,mumbaI,5.0,2.972972972972973,0.0,172,1,0,1,1.0,1.0,0.0,0.004166667,0.004166667,0.002727235898551818,16,0.0,0,0.09016598054267728
23,tArIkha,1.0,1.0,1.0,14,0,2,2,2.0,0.0,2.0,0.00625,0.00625,0.007534484586998312,18,0.0,0,0.009959641923963461
24,murgiyoM,0.0,0.0,0.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,19,0.0,0,0.0
25,pradAna,0.0,0.0,0.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,20,0.0,0,0.0
26,samArohoM,0.0,0.0,0.0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,21,0.0,0,0.0
27,karnATaka,6.0,3.257142857142857,0.0,152,1,0,1,1.0,1.0,0.0,0.004166667,0.004166667,0.0027990335924136652,4,0.0,0,0.07397713265223213
28,Andhrapradesha,6.0,3.257142857142857,0.0,152,1,0,1,1.0,1.0,0.0,0.004166667,0.004166667,0.0027990335924136652,4,0.0,0,0.07397713265223213
29,parityakta,0.0,0.0,0.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,22,0.0,0,0.0
30,nahIM,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,23,0.0,0,0.0
31,samaya,3.0,1.7777777777777777,13.999999999999996,95,0,5,5,5.0,0.0,5.0,0.0125,0.0125,0.0055299549979024205,9,0.4,4,0.5065281191820197
32,taTa,4.0,2.6486486486486487,0.0,171,1,0,1,1.0,1.0,0.0,0.004166667,0.004166667,0.0027246521503781246,16,0.0,0,0.14079485200571115
33,paryaTaka,0.0,0.0,0.0,20,0,0,0,0.0,0.0,0.0,0.0,0.0,7.545472657723559E-4,24,0.0,0,0.0
