Source,Target,id,Weight
1,77,1,1
4,49,2,1
4,201,3,1
4,217,4,1
8,97,5,1
8,199,6,1
16,37,7,1
21,16,8,1
21,69,9,1
21,96,10,1
23,196,11,1
23,262,12,1
31,103,13,1
31,114,14,1
31,168,15,1
31,283,16,1
31,288,17,1
36,123,18,1
45,204,19,1
66,82,20,1
69,16,21,1
69,69,22,1
69,96,23,1
70,156,24,2
80,19,25,1
80,225,26,1
80,247,27,1
80,294,28,1
101,35,29,1
101,44,30,1
101,92,31,1
101,185,32,1
101,233,33,1
102,35,34,1
102,44,35,1
102,92,36,1
102,185,37,1
102,233,38,1
114,103,39,1
114,114,40,1
114,168,41,1
114,283,42,1
114,288,43,1
127,127,44,1
133,264,45,1
150,53,46,1
152,181,47,1
152,226,48,1
155,103,49,1
155,114,50,1
155,168,51,1
155,283,52,1
155,288,53,1
160,297,54,1
161,19,55,1
161,51,56,1
161,225,57,1
171,171,58,1
172,47,59,1
185,145,60,1
185,189,61,1
186,1,62,1
186,72,63,1
186,84,64,1
186,85,65,1
186,99,66,1
186,113,67,1
186,116,68,1
186,131,69,1
186,143,70,1
186,192,71,1
186,195,72,1
186,200,73,1
186,212,74,1
186,220,75,1
186,240,76,1
186,243,77,1
186,245,78,1
186,246,79,1
186,255,80,1
186,277,81,1
186,303,82,1
190,9,83,1
190,20,84,1
190,108,85,1
190,122,86,1
190,141,87,1
190,177,88,1
190,234,89,1
190,241,90,1
190,242,91,1
190,276,92,1
190,295,93,1
192,77,94,1
194,194,95,1
198,22,96,1
198,76,97,1
198,78,98,1
198,79,99,1
198,90,100,1
198,109,101,1
198,110,102,1
198,280,103,1
198,291,104,1
198,296,105,1
205,16,106,1
205,69,107,1
205,96,108,1
215,215,109,1
219,19,110,1
219,120,111,1
219,287,112,1
225,4,113,1
225,21,114,1
225,42,115,1
225,111,116,1
225,147,117,1
225,260,118,1
228,160,119,1
228,229,120,1
228,271,121,1
232,140,122,1
255,230,123,1
260,27,124,1
260,28,125,1
260,34,126,1
260,55,127,1
260,61,128,1
260,156,129,1
260,182,130,1
260,222,131,1
260,248,132,2
260,278,133,1
260,289,134,1
280,90,135,1
280,165,136,1
280,218,137,1
284,160,138,1
284,229,139,1
284,271,140,1
288,9,141,1
288,20,142,1
288,108,143,1
288,122,144,1
288,141,145,1
288,177,146,1
288,234,147,1
288,241,148,1
288,242,149,1
288,276,150,1
288,295,151,1
293,17,152,1
293,32,153,1
293,62,154,1
293,86,155,1
293,95,156,1
293,98,157,1
293,102,158,1
293,104,159,1
293,105,160,1
293,107,161,1
293,164,162,1
293,176,163,1
293,198,164,1
293,221,165,1
293,244,166,1
293,267,167,1
293,273,168,1
