Source,Target,Id,Weight
2,2,1,1
8,165,2,1
16,133,3,1
20,46,4,1
20,54,5,1
20,72,6,1
20,155,7,1
20,208,8,1
20,239,9,2
20,336,10,1
23,79,11,1
23,107,12,1
25,36,13,1
25,264,14,1
32,28,15,1
34,99,16,1
58,331,17,1
65,211,18,1
74,186,19,1
75,93,20,1
75,196,21,1
75,334,22,1
75,339,23,1
86,6,24,1
86,13,25,1
86,49,26,1
86,65,27,1
86,83,28,1
86,114,29,1
86,153,30,1
86,161,31,1
86,189,32,1
86,279,33,1
87,8,34,1
87,46,35,1
87,54,36,1
87,72,37,1
87,208,38,1
87,336,39,1
106,9,40,1
106,24,41,1
106,67,42,1
106,106,43,1
106,108,44,1
106,158,45,1
106,213,46,1
106,241,47,1
111,110,48,1
132,226,49,1
132,243,50,1
136,167,51,1
138,59,52,1
143,14,53,1
143,29,54,1
143,31,55,1
143,38,56,1
143,56,57,1
143,71,58,1
143,82,59,1
143,97,60,1
143,104,61,1
143,109,62,1
143,113,63,1
143,140,64,1
143,156,65,1
143,163,66,1
143,164,67,1
143,168,68,1
143,169,69,1
143,175,70,1
143,202,71,1
143,205,72,1
143,207,73,1
143,209,74,1
143,246,75,1
143,258,76,1
143,259,77,1
143,270,78,1
143,297,79,1
143,300,80,1
143,313,81,1
143,316,82,1
143,321,83,1
143,324,84,1
143,341,85,1
143,343,86,1
143,347,87,1
145,4,88,1
145,10,89,1
145,70,90,1
145,126,91,1
145,182,92,1
145,190,93,1
145,194,94,1
145,201,95,1
145,212,96,1
145,217,97,1
145,237,98,1
145,242,99,1
145,248,100,1
145,265,101,1
145,267,102,1
145,280,103,1
145,290,104,1
147,120,105,1
150,136,106,1
158,8,107,1
158,46,108,1
158,54,109,1
158,72,110,1
158,208,111,1
158,336,112,1
164,9,113,1
164,24,114,1
164,67,115,1
164,106,116,1
164,108,117,1
164,158,118,1
164,213,119,1
164,241,120,1
165,184,121,1
172,138,122,2
178,58,123,1
179,138,124,2
193,198,125,1
193,206,126,1
195,1,127,1
195,15,128,1
195,27,129,1
195,37,130,1
195,41,131,1
195,111,132,1
195,142,133,1
195,147,134,1
195,271,135,1
195,277,136,1
195,278,137,1
195,294,138,1
195,307,139,1
197,204,140,1
198,198,141,1
198,206,142,1
213,9,143,1
213,24,144,1
213,67,145,1
213,106,146,1
213,108,147,1
213,158,148,1
213,213,149,1
213,241,150,1
215,9,151,1
215,24,152,1
215,67,153,1
215,108,154,1
215,213,155,1
215,241,156,1
215,296,157,1
216,25,158,1
216,39,159,1
216,40,160,1
216,185,161,1
216,249,162,1
231,4,163,1
231,10,164,1
231,70,165,1
231,126,166,1
231,182,167,1
231,190,168,1
231,194,169,1
231,201,170,1
231,212,171,1
231,217,172,1
231,237,173,1
231,242,174,1
231,248,175,1
231,265,176,1
231,267,177,1
231,280,178,1
231,290,179,1
237,162,180,1
237,221,181,1
240,93,182,1
240,196,183,1
240,334,184,1
240,339,185,1
245,229,186,1
249,52,187,1
249,75,188,1
249,122,189,1
249,179,190,1
249,220,191,1
249,231,192,1
249,240,193,1
249,299,194,1
251,349,195,1
252,286,196,1
253,200,197,1
253,333,198,1
254,349,199,1
258,5,200,1
258,255,201,1
268,45,202,1
268,116,203,1
268,124,204,1
268,148,205,1
268,176,206,1
268,275,207,1
268,282,208,1
268,318,209,1
271,1,210,1
271,15,211,1
271,41,212,1
271,111,213,1
271,142,214,1
271,147,215,1
271,157,216,1
271,271,217,1
271,278,218,1
271,294,219,1
271,307,220,1
271,312,221,1
284,183,222,1
285,26,223,1
305,92,224,2
305,138,225,2
305,239,226,2
314,314,227,1
332,141,228,1
334,52,229,1
334,75,230,1
334,122,231,1
334,179,232,1
334,220,233,1
334,231,234,1
334,240,235,1
334,299,236,1
342,17,237,1
342,342,238,1
343,73,239,1
346,346,240,1
349,349,241,1
