Id,Label,Source,Target,Weight,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient
0,himAcala,,,,1,0,1,9.0,4.513888888888889,0.0,185,1.0,1.0,0.0,0.003407155,0.003407155,0.0017922348556521778,0,0.0
1,jhIloM,,,,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,1,0.0
2,smArakoM,,,,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,2,0.0
3,samarthaka,,,,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,3,0.0
4,vaMsha,,,,0,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,4,0.0
5,bhAratIya,,,,0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,5,0.0
6,magaramaccha,,,,0,0,0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,6,0.0
7,sthiti,,,,3,16,19,10.0,3.9444444444444446,45.125,7,19.0,3.0,16.0,0.032367975,0.032367975,0.014331351742256594,0,0.19607843137254902
8,sarIsRRipoM,,,,0,0,0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,7,0.0
9,samRRiddhi,,,,3,0,3,10.0,4.138888888888889,10.125,7,3.0,3.0,0.0,0.00681431,0.00681431,0.0027180730871819215,0,0.6666666666666666
10,karNa,,,,0,0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,8,0.0
11,gAthA,,,,0,0,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,9,0.0
12,bhAvoM,,,,0,0,0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,10,0.0
13,avalokana,,,,0,0,0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,11,0.0
14,varSha,,,,0,0,0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,12,0.0
15,prApta,,,,0,0,0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,13,0.0
16,lAhaula,,,,0,0,0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,14,0.0
17,mahotsava,,,,0,0,0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,15,0.0
18,talAsha,,,,1,0,1,1.0,1.0,0.0,98,1.0,1.0,0.0,0.003407155,0.003407155,0.004565789940223913,16,0.0
19,gulamohara,,,,1,0,1,2.0,1.8333333333333333,0.0,194,1.0,1.0,0.0,0.003407155,0.003407155,0.0028200429373101818,17,0.0
20,kavi,,,,0,0,0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,18,0.0
21,spItI,,,,0,0,0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,19,0.0
22,sevAe.n,,,,0,0,0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,20,0.0
