Source,Target,id,Weight
2,6,1,1
2,58,2,1
5,6,3,1
5,46,4,1
5,261,5,1
6,5,6,1
6,58,7,1
6,225,8,1
7,47,9,1
8,226,10,1
9,49,11,1
12,13,12,1
12,18,13,1
13,12,14,1
14,18,15,1
14,77,16,1
16,46,17,1
17,18,18,1
18,4,19,1
18,12,20,1
18,13,21,1
18,14,22,1
18,17,23,1
18,30,24,1
18,31,25,1
18,34,26,1
18,37,27,1
18,47,28,1
18,55,29,1
18,61,30,1
18,62,31,1
18,63,32,1
18,88,33,1
18,89,34,1
18,91,35,1
18,93,36,1
18,114,37,1
18,115,38,1
18,121,39,1
18,129,40,1
18,133,41,1
18,141,42,1
18,143,43,1
18,148,44,1
18,153,45,1
18,162,46,1
18,166,47,1
18,179,48,1
18,187,49,1
18,188,50,1
18,195,51,1
18,199,52,1
18,202,53,1
18,204,54,1
18,207,55,1
18,215,56,1
18,227,57,1
18,228,58,1
18,231,59,1
18,241,60,1
18,242,61,1
18,245,62,1
18,252,63,1
18,262,64,1
18,263,65,1
18,270,66,1
19,20,67,2
19,45,68,2
19,150,69,2
19,268,70,2
20,2,71,1
20,19,72,2
20,60,73,1
20,104,74,1
20,112,75,1
20,116,76,1
20,155,77,1
20,168,78,2
20,177,79,1
20,205,80,1
20,259,81,1
20,265,82,1
21,52,83,1
21,64,84,1
21,201,85,1
22,40,86,1
22,125,87,1
22,157,88,1
22,170,89,1
22,232,90,1
22,234,91,1
25,29,92,2
26,35,93,1
27,105,94,1
29,25,95,2
30,40,96,1
30,201,97,1
31,18,98,1
32,1,99,1
32,9,100,1
32,21,101,1
32,33,102,1
32,44,103,1
32,47,104,1
32,48,105,1
32,74,106,1
32,87,107,1
32,91,108,1
32,92,109,1
32,93,110,1
32,95,111,1
32,103,112,1
32,106,113,1
32,112,114,1
32,114,115,1
32,122,116,1
32,146,117,1
32,151,118,1
32,152,119,1
32,192,120,1
32,197,121,1
32,206,122,1
32,210,123,1
32,215,124,1
32,227,125,1
32,232,126,1
32,249,127,1
32,251,128,1
32,252,129,1
32,270,130,1
33,96,131,1
34,18,132,1
34,70,133,1
37,18,134,1
38,6,135,1
38,58,136,1
38,84,137,1
38,102,138,1
38,108,139,1
38,133,140,1
38,151,141,1
38,261,142,1
40,73,143,1
40,183,144,1
44,32,145,1
44,138,146,1
44,164,147,1
45,256,148,1
46,5,149,1
46,6,150,1
46,58,151,1
46,225,152,1
47,7,153,1
48,32,154,1
49,9,155,1
50,107,156,1
50,264,157,1
54,9,158,1
54,166,159,1
54,227,160,1
55,18,161,1
57,22,162,1
58,2,163,1
58,5,164,1
58,6,165,1
58,38,166,1
58,45,167,1
58,46,168,1
58,146,169,1
58,150,170,1
58,160,171,1
58,173,172,1
58,220,173,1
58,222,174,1
58,223,175,1
58,225,176,1
58,255,177,1
58,258,178,1
58,261,179,1
59,9,180,1
59,126,181,1
59,224,182,1
60,20,183,1
61,18,184,1
62,18,185,1
63,18,186,1
64,21,187,1
68,144,188,2
70,34,189,1
71,110,190,1
71,151,191,1
73,40,192,1
74,32,193,1
77,14,194,1
78,191,195,1
78,201,196,1
81,256,197,1
82,268,198,1
84,38,199,1
84,261,200,1
88,18,201,1
89,33,202,1
89,246,203,1
92,32,204,1
92,117,205,1
93,18,206,1
95,32,207,1
96,9,208,1
96,166,209,1
96,227,210,1
97,65,211,1
97,180,212,1
98,180,213,1
99,5,214,1
100,180,215,1
101,140,216,1
101,142,217,1
101,169,218,1
101,221,219,1
101,236,220,1
102,38,221,1
102,261,222,1
103,32,223,1
103,151,224,1
103,171,225,1
104,20,226,1
106,32,227,1
107,50,228,1
108,38,229,1
108,261,230,1
109,154,231,1
109,246,232,1
109,270,233,1
110,71,234,1
110,149,235,1
110,248,236,2
111,160,237,1
113,40,238,1
113,226,239,1
114,32,240,1
115,18,241,1
115,87,242,1
116,20,243,1
117,91,244,1
117,92,245,1
118,40,246,1
118,183,247,1
119,40,248,1
121,18,249,1
122,32,250,1
125,18,251,1
125,22,252,1
126,54,253,1
126,59,254,1
126,96,255,1
126,136,256,1
129,18,257,1
130,18,258,1
131,189,259,1
133,18,260,1
134,198,261,1
136,126,262,1
136,230,263,1
137,149,264,1
138,44,265,1
141,18,266,1
143,18,267,1
144,66,268,2
144,68,269,2
144,237,270,2
149,71,271,1
149,110,272,1
149,151,273,1
150,256,274,1
151,32,275,1
152,32,276,1
153,18,277,1
154,109,278,1
155,20,279,1
157,40,280,1
158,40,281,1
160,6,282,1
160,18,283,1
160,38,284,1
160,45,285,1
160,58,286,1
160,111,287,1
160,150,288,1
162,18,289,1
163,164,290,1
166,18,291,1
167,201,292,1
168,20,293,2
168,81,294,1
169,101,295,1
170,40,296,1
173,6,297,1
173,58,298,1
174,46,299,1
176,236,300,1
177,20,301,1
180,92,302,1
180,97,303,1
180,98,304,1
180,100,305,1
181,117,306,1
186,63,307,1
187,18,308,1
188,18,309,1
189,131,310,1
190,211,311,2
191,78,312,1
192,32,313,1
193,96,314,1
195,18,315,1
198,134,316,1
201,78,317,1
201,191,318,1
202,18,319,1
204,18,320,1
205,20,321,1
206,32,322,1
207,18,323,1
208,212,324,1
210,75,325,1
211,190,326,2
212,27,327,1
212,33,328,1
212,65,329,1
212,66,330,1
212,67,331,1
212,237,332,1
212,245,333,1
212,257,334,1
212,258,335,1
212,264,336,1
213,40,337,1
215,32,338,1
216,178,339,1
218,256,340,1
222,6,341,1
222,58,342,1
223,6,343,1
223,58,344,1
224,4,345,1
225,6,346,1
225,46,347,1
227,32,348,1
231,18,349,1
232,32,350,1
236,176,351,1
242,18,352,1
242,241,353,1
245,27,354,1
245,33,355,1
245,65,356,1
245,66,357,1
245,67,358,1
245,237,359,1
245,257,360,1
245,258,361,1
245,264,362,1
246,27,363,1
246,35,364,1
246,40,365,1
246,65,366,1
246,109,367,1
246,148,368,1
248,110,369,2
249,32,370,1
251,32,371,1
252,18,372,1
255,6,373,1
255,58,374,1
256,35,375,1
256,45,376,1
256,81,377,1
256,140,378,1
256,142,379,1
256,150,380,1
256,164,381,1
256,218,382,1
256,226,383,1
256,257,384,1
256,260,385,1
256,264,386,1
257,40,387,1
257,66,388,1
257,67,389,1
257,212,390,1
257,237,391,1
257,245,392,1
258,66,393,1
258,67,394,1
258,212,395,1
258,237,396,1
258,245,397,1
259,20,398,2
260,256,399,1
261,6,400,1
261,38,401,1
261,58,402,1
261,84,403,1
261,102,404,1
261,108,405,1
261,133,406,1
261,151,407,1
262,18,408,1
263,18,409,1
264,256,410,1
265,20,411,1
268,19,412,2
268,82,413,1
