source,target,id,weight
1,198,1,1
2,160,2,1
3,4,3,1
3,46,4,1
4,3,5,1
4,28,6,1
4,239,7,1
8,198,8,1
9,21,9,1
9,24,10,1
9,30,11,1
9,37,12,1
9,43,13,1
9,48,14,1
9,49,15,1
9,52,16,1
9,61,17,1
9,76,18,1
9,77,19,1
9,79,20,1
9,92,21,1
9,102,22,1
9,107,23,1
9,120,24,1
9,132,25,1
9,135,26,1
9,138,27,1
9,147,28,1
9,164,29,1
9,166,30,1
9,168,31,1
9,172,32,1
9,173,33,1
9,176,34,1
9,178,35,1
9,180,36,1
9,195,37,1
9,198,38,1
9,200,39,1
9,203,40,1
9,205,41,1
9,210,42,1
9,214,43,1
9,217,44,1
9,231,45,1
9,235,46,1
10,11,47,2
10,154,48,1
10,190,49,1
11,10,50,2
11,15,51,1
11,26,52,1
11,33,53,1
11,73,54,1
11,81,55,1
11,103,56,1
11,154,57,1
11,204,58,1
11,233,59,1
11,240,60,1
12,234,61,1
14,92,62,1
14,197,63,1
15,64,64,2
17,18,65,2
18,17,66,2
20,6,67,1
20,31,68,1
20,35,69,1
20,36,70,1
20,60,71,1
20,72,72,1
20,75,73,1
20,78,74,1
20,82,75,1
20,105,76,1
20,109,77,1
20,121,78,1
20,131,79,1
20,133,80,1
20,152,81,1
20,159,82,1
20,160,83,1
20,169,84,1
20,171,85,1
20,182,86,1
20,197,87,1
20,201,88,1
20,206,89,1
20,210,90,1
20,228,91,1
20,230,92,1
20,238,93,1
21,9,94,1
21,55,95,1
23,162,96,1
24,9,97,1
25,39,98,1
25,234,99,1
26,11,100,1
26,161,101,1
28,3,102,1
28,25,103,1
28,37,104,1
28,46,105,1
28,69,106,1
28,74,107,1
28,88,108,1
28,133,109,1
28,138,110,1
28,192,111,1
28,228,112,1
30,9,113,1
31,140,114,1
32,36,115,1
33,11,116,1
35,20,117,1
35,228,118,1
36,20,119,1
36,32,120,1
36,137,121,1
36,142,122,1
36,228,123,1
37,28,124,1
37,239,125,1
38,42,126,1
39,25,127,1
41,6,128,1
41,99,129,1
41,225,130,1
42,38,131,1
42,70,132,1
42,149,133,1
42,165,134,1
43,9,135,1
43,38,136,1
43,175,137,1
46,3,138,1
46,4,139,1
46,7,140,1
46,28,141,1
46,58,142,1
46,93,143,1
46,121,144,1
46,149,145,1
46,160,146,1
46,196,147,1
46,197,148,1
46,236,149,1
46,239,150,1
47,6,151,1
47,99,152,1
47,225,153,1
48,9,154,1
48,30,155,1
48,84,156,1
49,9,157,1
52,9,158,1
55,21,159,1
56,94,160,1
56,133,161,1
56,190,162,2
57,104,163,1
57,198,164,1
58,3,165,1
58,46,166,1
60,20,167,1
60,198,168,1
60,228,169,1
61,9,170,1
64,15,171,2
65,15,172,2
68,122,173,1
69,28,174,1
69,239,175,1
70,42,176,1
71,52,177,1
72,20,178,1
72,228,179,1
74,28,180,1
74,239,181,1
75,20,182,1
75,228,183,1
76,9,184,1
77,82,185,1
77,198,186,1
77,222,187,1
78,20,188,1
78,228,189,1
79,9,190,1
81,11,191,1
82,77,192,1
83,157,193,1
85,157,194,1
86,114,195,1
86,148,196,1
87,198,197,1
88,28,198,1
88,37,199,1
88,138,200,1
88,239,201,1
90,52,202,1
90,98,203,1
92,9,204,1
93,3,205,1
93,46,206,1
93,147,207,1
94,56,208,1
95,7,209,1
100,98,210,1
102,9,211,1
103,11,212,1
104,57,213,1
105,20,214,1
105,228,215,1
107,198,216,1
108,162,217,1
109,20,218,1
109,228,219,1
113,41,220,1
113,47,221,1
113,118,222,1
113,228,223,1
114,86,224,1
114,170,225,1
117,127,226,1
118,113,227,1
120,9,228,1
121,20,229,1
121,228,230,1
127,117,231,1
131,20,232,1
131,228,233,1
133,20,234,1
133,228,235,1
134,56,236,1
135,9,237,1
136,137,238,1
137,36,239,1
137,136,240,1
138,28,241,1
138,239,242,1
139,50,243,1
140,31,244,1
141,142,245,1
145,183,246,1
147,93,247,1
148,165,248,1
149,3,249,1
149,46,250,1
151,157,251,1
152,20,252,1
152,37,253,1
152,138,254,1
152,228,255,1
152,236,256,1
153,198,257,1
154,11,258,1
156,183,259,1
157,78,260,1
157,83,261,1
157,85,262,1
160,2,263,1
160,20,264,1
160,228,265,1
161,26,266,1
161,228,267,1
163,37,268,1
163,138,269,1
164,9,270,1
166,198,271,1
168,9,272,1
169,20,273,1
169,228,274,1
170,114,275,1
171,20,276,1
171,228,277,1
172,9,278,1
173,9,279,1
175,43,280,1
175,198,281,1
176,9,282,1
177,37,283,1
177,138,284,1
178,9,285,1
179,198,286,1
180,9,287,1
182,20,288,1
182,228,289,1
185,198,290,1
187,183,291,2
188,122,292,1
190,10,293,1
190,56,294,1
190,94,295,1
190,130,296,1
190,155,297,1
192,232,298,1
194,232,299,1
195,9,300,1
197,14,301,1
198,183,302,1
200,9,303,1
202,198,304,1
203,9,305,1
204,11,306,1
205,9,307,1
207,37,308,1
207,138,309,1
208,196,310,1
209,234,311,1
210,198,312,1
211,198,313,1
213,234,314,1
214,9,315,1
217,9,316,1
222,22,317,1
222,112,318,1
222,159,319,1
229,56,320,1
230,20,321,1
230,228,322,1
231,9,323,1
232,22,324,1
232,124,325,1
232,142,326,1
232,192,327,1
232,194,328,1
233,11,329,1
234,7,330,1
234,12,331,1
234,142,332,1
234,209,333,1
234,213,334,1
235,9,335,1
236,52,336,1
237,122,337,1
238,20,338,1
238,228,339,1
239,3,340,1
239,25,341,1
239,37,342,1
239,46,343,1
239,69,344,1
239,74,345,1
239,88,346,1
239,133,347,1
239,138,348,1
239,192,349,1
239,228,350,1
240,11,351,1
