Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,PageRank,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,S1,3.0,1.7263157894736842,20.417914320005135,0.01206571526764827,0,0,31,31,31.0,0.0,31.0,0.012903226,0.012903226,0,0.6279569892473118,292,0.5676393399855898
2,S2,3.0,2.294736842105263,0.03125,0.0022540501287890585,2,0,2,2,2.0,0.0,2.0,0.0012096774,0.0012096774,0,0.0,0,0.04282959934946792
3,S3,3.0,1.936842105263158,36.69852221431959,0.008329980799676446,2,1,16,17,17.0,1.0,16.0,0.0072580646,0.0072580646,0,0.3088235294117647,42,0.2247131036481398
4,S4,3.0,1.4,91.93033769007312,0.0218289948763758,0,1,58,59,59.0,1.0,58.0,0.024193548,0.024193548,0,0.4804208065458796,822,0.9698993841812682
5,S5,2.0,1.3368421052631578,142.2723650850779,0.023498589476084453,0,3,60,63,63.0,3.0,60.0,0.025806451,0.025806451,0,0.445468509984639,870,1.0
6,S6,3.0,1.5789473684210527,360.2125607546671,0.019770291947659804,1,1,40,41,41.0,1.0,40.0,0.016935484,0.016935484,0,0.3719512195121951,305,0.5951105182829142
7,S7,3.0,2.0210526315789474,1.2828211356768182,0.0052596516320596665,3,0,11,11,11.0,0.0,11.0,0.0048387097,0.0048387097,0,0.6363636363636364,35,0.20440823404198918
8,S8,3.0,2.0210526315789474,1.6428365017895912,0.004145651334706614,2,1,6,7,7.0,1.0,6.0,0.0032258064,0.0032258064,0,0.6666666666666666,14,0.12448815426369789
9,S9,3.0,1.8210526315789475,4.200842162293995,0.008538849811735284,0,2,19,21,21.0,2.0,19.0,0.008870968,0.008870968,0,0.7428571428571429,156,0.44137815692851484
10,S10,3.0,1.8526315789473684,1.6734374418892024,0.008750567549916157,0,2,20,22,22.0,2.0,20.0,0.009274193,0.009274193,0,0.8614718614718615,199,0.48067105497929635
11,S11,3.0,1.4736842105263157,58.605452494386554,0.019314508930267885,0,5,47,52,52.0,5.0,47.0,0.021370968,0.021370968,0,0.46530920060331826,617,0.8632462507438587
12,S12,3.0,1.6526315789473685,67.39918103356426,0.01448115419144849,3,6,30,36,36.0,6.0,30.0,0.014919355,0.014919355,0,0.4857142857142857,306,0.5934455113757174
13,S13,3.0,2.0631578947368423,4.608969493173219,0.005183006636315459,3,1,9,10,10.0,1.0,9.0,0.004435484,0.004435484,0,0.6222222222222222,28,0.1802257697093033
14,S14,3.0,2.0842105263157893,0.13688450525635956,0.00422211707706154,3,1,7,8,8.0,1.0,7.0,0.0036290323,0.0036290323,0,0.8571428571428571,24,0.16254003968735475
15,S15,3.0,1.5263157894736843,132.91500770917102,0.018506967158254888,3,8,39,47,47.0,8.0,39.0,0.019354839,0.019354839,0,0.3885291396854764,420,0.7177017476270277
16,S16,3.0,1.7789473684210526,15.757920758309965,0.01042984369333969,0,9,17,26,26.0,9.0,17.0,0.010887097,0.010887097,0,0.6276923076923077,204,0.48345567218505986
17,S17,3.0,2.042105263157895,19.07275047329213,0.007793460872104521,2,0,16,16,16.0,0.0,16.0,0.0068548387,0.0068548387,0,0.19166666666666668,23,0.1807795186448854
18,S18,3.0,1.6526315789473685,71.80714209451176,0.014131401637351963,2,4,31,35,35.0,4.0,31.0,0.014516129,0.014516129,0,0.4638655462184874,276,0.5815301817475325
19,S19,3.0,1.7789473684210526,9.955051161479213,0.009938894489292964,0,5,20,25,25.0,5.0,20.0,0.010483871,0.010483871,0,0.6766666666666666,203,0.49150623906145263
20,S20,3.0,1.8631578947368421,4.986182590766983,0.008856578325992905,0,10,12,22,22.0,10.0,12.0,0.009274193,0.009274193,0,0.7186147186147186,166,0.4412714125026744
21,S21,3.0,2.094736842105263,5.9211903370139405,0.004999110691053315,1,0,9,9,9.0,0.0,9.0,0.004032258,0.004032258,0,0.3888888888888889,14,0.12006924656052423
22,S22,3.0,2.3473684210526318,0.0,0.002266842197463071,2,0,2,2,2.0,0.0,2.0,0.0012096774,0.0012096774,0,1.0,1,0.03927913271845557
23,S23,3.0,1.7894736842105263,14.400741810585464,0.009690767335716893,0,4,20,24,24.0,4.0,20.0,0.010080645,0.010080645,0,0.644927536231884,178,0.4679915389387473
24,S24,3.0,1.9157894736842105,0.39244689351964657,0.007073616467981844,0,6,11,17,17.0,6.0,11.0,0.0072580646,0.0072580646,0,0.9264705882352942,126,0.38877753751767774
25,S25,3.0,2.1894736842105265,1.9602829474840535,0.003496073167124373,3,5,0,5,5.0,5.0,0.0,0.0024193549,0.0024193549,0,0.3,3,0.06418068208700373
26,S26,4.0,2.568421052631579,0.0,0.001962920280611371,1,1,0,1,1.0,1.0,0.0,8.064516E-4,8.064516E-4,0,0.0,0,0.01692046260258614
27,S27,3.0,1.8842105263157896,4.479802514980129,0.007682597103943956,3,7,11,18,18.0,7.0,11.0,0.0076612905,0.0076612905,0,0.6470588235294118,99,0.3448386759635534
28,S28,3.0,1.8526315789473684,2.8128827922590367,0.008168060723676627,0,3,17,20,20.0,3.0,17.0,0.008467742,0.008467742,0,0.7578947368421053,144,0.43594779114607124
29,S29,3.0,2.0,4.351547041572617,0.005494790856763152,2,1,10,11,11.0,1.0,10.0,0.0048387097,0.0048387097,0,0.4727272727272727,26,0.15784186272147543
30,S30,2.0,1.5263157894736843,202.92509963583447,0.019373629526250106,2,10,35,45,45.0,10.0,35.0,0.018548386,0.018548386,0,0.2898989898989899,287,0.5774509663897679
31,S31,3.0,1.9263157894736842,6.387145696968771,0.007354899817905665,2,9,8,17,17.0,9.0,8.0,0.0072580646,0.0072580646,0,0.5367647058823529,73,0.30539766566126153
32,S32,3.0,2.263157894736842,1.456703074028302,0.003714491206147173,2,1,5,6,6.0,1.0,5.0,0.0028225807,0.0028225807,0,0.26666666666666666,4,0.07485896037721583
33,S33,3.0,1.8210526315789475,6.93779516449483,0.008545193867875759,0,7,14,21,21.0,7.0,14.0,0.008870968,0.008870968,0,0.6904761904761905,145,0.4478682534696515
34,S34,2.0,1.4947368421052631,89.2240800975266,0.01834578244457042,3,20,28,48,48.0,20.0,28.0,0.019758064,0.019758064,0,0.4973404255319149,561,0.7960617535992355
35,S35,2.0,1.4947368421052631,149.66811570849094,0.018919399187231543,0,19,29,48,48.0,19.0,29.0,0.019758064,0.019758064,0,0.4787234042553192,540,0.7907665050908026
36,S36,3.0,1.831578947368421,14.375360920727564,0.008556473987841286,2,11,9,20,20.0,11.0,9.0,0.008467742,0.008467742,0,0.5157894736842106,98,0.3374271754286942
37,S37,3.0,2.0,0.6387905291585262,0.004936164278161299,3,4,6,10,10.0,4.0,6.0,0.004435484,0.004435484,0,0.7777777777777778,35,0.20181917240581013
38,S38,2.0,1.4421052631578948,226.6299425836298,0.021686871984617686,2,15,38,53,53.0,15.0,38.0,0.021774193,0.021774193,0,0.4230769230769231,583,0.8080701063669863
39,S39,2.0,1.5473684210526315,69.20042541499708,0.016770422766021243,3,14,29,43,43.0,14.0,29.0,0.017741935,0.017741935,0,0.5049833887043189,456,0.7100171172562539
40,S40,3.0,1.7578947368421052,38.229934360855545,0.011402849827568272,2,13,14,27,27.0,13.0,14.0,0.011290323,0.011290323,0,0.39886039886039887,140,0.38315741256738245
41,S41,2.0,1.368421052631579,123.77835847547844,0.022396174689454193,0,25,35,60,60.0,25.0,35.0,0.024596775,0.024596775,0,0.47005649717514125,832,0.9758732022201663
42,S42,3.0,2.0,1.2915621978976,0.005867393128296422,3,9,4,13,13.0,9.0,4.0,0.0056451615,0.0056451615,0,0.7051282051282052,55,0.26004596069459496
43,S43,3.0,1.8736842105263158,23.288698731382482,0.006885731383101465,2,5,8,13,13.0,5.0,8.0,0.0056451615,0.0056451615,0,0.5256410256410257,41,0.20376209642362414
44,S44,3.0,1.4526315789473685,122.81751560383931,0.02055296086684036,0,21,33,54,54.0,21.0,33.0,0.022177419,0.022177419,0,0.48846960167714887,699,0.8996649686829927
45,S45,2.0,1.7473684210526317,7.157792409519041,0.009688123544417927,0,9,15,24,24.0,9.0,15.0,0.010080645,0.010080645,0,0.7246376811594203,200,0.4837568777104071
46,S46,3.0,1.7263157894736842,14.137524501884734,0.011345594403148074,0,12,17,29,29.0,12.0,17.0,0.012096774,0.012096774,0,0.6748768472906403,274,0.5488823972487137
47,S47,3.0,1.7473684210526317,11.854042526903246,0.011593238692280983,0,21,9,30,30.0,21.0,9.0,0.0125,0.0125,0,0.6551724137931034,285,0.568430361161117
48,S48,3.0,1.8421052631578947,1.7523827482675296,0.008480704620152213,0,11,10,21,21.0,11.0,10.0,0.008870968,0.008870968,0,0.8333333333333334,175,0.4551916170170959
49,S49,3.0,2.031578947368421,2.5692731499159747,0.004522452846915253,2,7,1,8,8.0,7.0,1.0,0.0036290323,0.0036290323,0,0.42857142857142855,12,0.12074505467032122
50,S50,2.0,1.5894736842105264,46.643424005775145,0.015018575340892808,0,18,21,39,39.0,18.0,21.0,0.016129032,0.016129032,0,0.5519568151147098,409,0.6821576361376239
51,S51,3.0,1.7789473684210526,33.481028930371245,0.011461439560810225,0,19,9,28,28.0,19.0,9.0,0.011693548,0.011693548,0,0.6984126984126984,264,0.5450105467231184
52,S52,3.0,2.0631578947368423,0.6150022123109099,0.005172372629107684,0,8,3,11,11.0,8.0,3.0,0.0048387097,0.0048387097,0,0.8,44,0.2122623077505104
53,S53,3.0,1.831578947368421,8.545319543102408,0.008678223184629014,2,11,10,21,21.0,11.0,10.0,0.008870968,0.008870968,0,0.6571428571428571,138,0.4341052021373519
54,S54,4.0,2.4105263157894736,0.0,0.0022241378996364284,0,2,0,2,2.0,2.0,0.0,0.0012096774,0.0012096774,0,1.0,1,0.04027990777102515
55,S55,3.0,2.263157894736842,0.7590277777777779,0.0028029025981234803,2,0,3,3,3.0,0.0,3.0,0.0016129032,0.0016129032,0,0.0,0,0.04559137534650993
56,S56,3.0,1.7894736842105263,14.951250898242707,0.009903723176383817,2,17,7,24,24.0,17.0,7.0,0.010080645,0.010080645,0,0.5688405797101449,157,0.41877443553231836
57,S57,3.0,1.6,71.75067245304967,0.01601844135225145,2,25,16,41,41.0,25.0,16.0,0.016935484,0.016935484,0,0.46707317073170734,383,0.668419543741826
58,S58,3.0,1.7578947368421052,66.75658100056575,0.011369153796410061,0,15,12,27,27.0,15.0,12.0,0.011290323,0.011290323,0,0.5954415954415955,209,0.4954615577485486
59,S59,3.0,1.9473684210526316,3.717240314565543,0.005966291787690294,0,6,7,13,13.0,6.0,7.0,0.0056451615,0.0056451615,0,0.8076923076923077,63,0.30698832854452984
60,S60,3.0,2.0736842105263156,6.293770780572485,0.004519201776140899,2,5,2,7,7.0,5.0,2.0,0.0032258064,0.0032258064,0,0.3333333333333333,7,0.0877866932882173
61,S61,3.0,2.0210526315789474,3.3305788285648554,0.005132392322313182,2,9,1,10,10.0,9.0,1.0,0.004435484,0.004435484,0,0.3111111111111111,14,0.15458595658134233
62,S62,3.0,1.831578947368421,23.640852788709843,0.00918364649483337,2,16,5,21,21.0,16.0,5.0,0.008870968,0.008870968,0,0.44761904761904764,94,0.32330371495563126
63,S63,3.0,2.221052631578947,3.0678479799503537,0.004371149488942053,1,1,5,6,6.0,1.0,5.0,0.0028225807,0.0028225807,0,0.4,6,0.062386517285929324
64,S64,3.0,1.8526315789473684,24.153974241121695,0.008811796831444152,2,12,8,20,20.0,12.0,8.0,0.008467742,0.008467742,0,0.4789473684210526,91,0.3067645658302399
65,S65,4.0,2.568421052631579,0.0,0.001962920280611371,1,1,0,1,1.0,1.0,0.0,8.064516E-4,8.064516E-4,0,0.0,0,0.01692046260258614
66,S66,2.0,1.5578947368421052,71.47659062297899,0.016363097041737773,2,28,14,42,42.0,28.0,14.0,0.01733871,0.01733871,0,0.5040650406504065,434,0.6940021753589063
67,S67,2.0,1.4631578947368422,55.238873446508634,0.01900266268926088,0,33,18,51,51.0,33.0,18.0,0.020967742,0.020967742,0,0.4964705882352941,633,0.8647812134959523
68,S68,3.0,1.8105263157894738,12.30364217712581,0.009037726939582338,1,14,8,22,22.0,14.0,8.0,0.009274193,0.009274193,0,0.6753246753246753,156,0.43196008463243607
69,S69,3.0,1.7473684210526317,19.650165540331795,0.010889135955010234,0,18,9,27,27.0,18.0,9.0,0.011290323,0.011290323,0,0.6495726495726496,228,0.5079869154503112
70,S70,3.0,1.4526315789473685,61.75860916835787,0.0199727466725258,0,38,16,54,54.0,38.0,16.0,0.022177419,0.022177419,0,0.5178197064989518,741,0.9175363300459523
71,S71,2.0,1.3263157894736841,312.3925924813452,0.025186812455970455,3,49,15,64,64.0,49.0,15.0,0.026209677,0.026209677,0,0.40773809523809523,822,0.9719154044211659
72,S72,3.0,2.168421052631579,0.6308704900059127,0.0036352954922882013,1,1,5,6,6.0,1.0,5.0,0.0028225807,0.0028225807,0,0.6,9,0.10627794910454405
73,S73,2.0,1.568421052631579,58.39993587824853,0.0159769917299991,3,27,14,41,41.0,27.0,14.0,0.016935484,0.016935484,0,0.5487804878048781,450,0.7062704329109132
74,S74,3.0,2.442105263157895,0.0,0.0023381336401369205,2,2,0,2,2.0,2.0,0.0,0.0012096774,0.0012096774,0,1.0,1,0.028103088102859462
75,S75,2.0,1.368421052631579,134.87080410139774,0.02252526605813247,0,43,17,60,60.0,43.0,17.0,0.024596775,0.024596775,0,0.45706214689265534,809,0.9626790318363686
76,S76,3.0,1.8526315789473684,24.2990454155622,0.007815993571484754,3,14,3,17,17.0,14.0,3.0,0.0072580646,0.0072580646,0,0.47794117647058826,65,0.280316741948131
77,S77,3.0,1.7263157894736842,33.19014953474529,0.011298837975917056,1,20,8,28,28.0,20.0,8.0,0.011693548,0.011693548,0,0.7063492063492064,267,0.5517288818504987
