Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,S1,3.0,2.154639175257732,11.841001098748505,0,0,7,7,7.0,0.0,7.0,0.003421728,0.003421728,0.005122667702555578,0,0.38095238095238093,8,0.08259657936498926
2,S2,2.0,1.4948453608247423,145.39180735198622,0,1,48,49,49.0,1.0,48.0,0.0213858,0.0213858,0.02028583992860697,0,0.32653061224489793,384,0.7656339661914445
3,S3,2.0,1.7216494845360826,38.8457310933109,0,2,25,27,27.0,2.0,25.0,0.011976048,0.011976048,0.011955635846030408,0,0.3162393162393162,111,0.4175308035230199
4,S4,3.0,2.5257731958762886,0.38486719380122836,0,1,1,2,2.0,1.0,1.0,0.001283148,0.001283148,0.002526756159032768,0,0.0,0,0.02451460858332476
5,S5,3.0,2.082474226804124,0.5622261072261072,2,0,5,5,5.0,0.0,5.0,0.002566296,0.002566296,0.0034330768779995205,0,0.7,7,0.08711098133431856
6,S6,2.0,1.3814432989690721,219.57664834826764,2,1,59,60,60.0,1.0,59.0,0.026090676,0.026090676,0.02471235149235522,0,0.3338983050847458,591,0.9529803686433275
7,S7,3.0,1.597938144329897,116.0481573780443,2,4,36,40,40.0,4.0,36.0,0.017536355,0.017536355,0.017011381697549535,0,0.40384615384615385,315,0.688980201632965
8,S8,3.0,1.8865979381443299,38.7304301505589,3,2,13,15,15.0,2.0,13.0,0.006843456,0.006843456,0.008048809149399243,0,0.42857142857142855,45,0.21788430138152917
9,S9,3.0,1.8041237113402062,16.33675672884459,0,3,19,22,22.0,3.0,19.0,0.009837468,0.009837468,0.00965457988695756,0,0.5238095238095238,121,0.4499820855738708
10,S10,3.0,1.7422680412371134,23.92496785967623,0,3,25,28,28.0,3.0,25.0,0.012403764,0.012403764,0.011701339699140594,0,0.6005291005291006,227,0.594542118429222
11,S11,2.0,1.597938144329897,53.47134977863987,0,7,32,39,39.0,7.0,32.0,0.01710864,0.01710864,0.01594820398428784,0,0.5087719298245614,377,0.738013478852607
12,S12,3.0,1.7628865979381443,88.57895079941459,2,6,18,24,24.0,6.0,18.0,0.0106929,0.0106929,0.011807355436663312,0,0.37318840579710144,103,0.39532845206337114
13,S13,2.0,1.5154639175257731,104.61636909374265,1,9,38,47,47.0,9.0,38.0,0.020530367,0.020530367,0.018961148604628476,0,0.45050878815911194,487,0.8427689068536117
