Id,Label,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
89,S89,42,3,45,3.0,1.5894736842105264,99.24017962756746,3,45.0,42.0,3.0,0.021455225,0.021455225,0.019767231436668836,0,0.3898989898989899,386,0.8276235226303715
74,S74,38,16,54,3.0,1.4736842105263157,224.00368372039648,3,54.0,38.0,16.0,0.025652984,0.025652984,0.024025262577716238,0,0.3864430468204053,553,0.9444593391874836
98,S98,38,0,38,3.0,1.6631578947368422,197.3344876920535,0,38.0,38.0,0.0,0.018190298,0.018190298,0.018569390163080197,0,0.3911806543385491,275,0.6920406130337421
85,S85,35,4,39,3.0,1.6526315789473685,37.89006535636008,0,39.0,35.0,4.0,0.018656716,0.018656716,0.016749494265300514,0,0.5641025641025641,418,0.7995112935916036
76,S76,34,8,42,3.0,1.6,60.92462444520135,0,42.0,34.0,8.0,0.02005597,0.02005597,0.018142608300848125,0,0.5226480836236934,450,0.8271795004483008
87,S87,31,4,35,3.0,1.7157894736842105,39.888531994438594,3,35.0,31.0,4.0,0.016791046,0.016791046,0.015528095137136624,0,0.42016806722689076,250,0.6673079821184008
86,S86,29,2,31,3.0,1.7578947368421052,88.37420178473191,5,31.0,29.0,2.0,0.014925373,0.014925373,0.014877307945995484,0,0.43010752688172044,200,0.5101660135515089
93,S93,29,1,30,3.0,1.736842105263158,98.351158022636,5,30.0,29.0,1.0,0.014458955,0.014458955,0.014328770417303141,0,0.4482758620689655,195,0.5319904864823529
56,S56,28,22,50,3.0,1.5263157894736843,121.8246386397945,3,50.0,28.0,22.0,0.023787314,0.023787314,0.021847619649658197,0,0.4204081632653061,515,0.9139288867906917
84,S84,28,1,29,3.0,1.7894736842105263,42.19416083278271,5,29.0,28.0,1.0,0.013992538,0.013992538,0.013248522440771293,0,0.4458128078817734,181,0.5341580184340889
52,S52,27,21,48,3.0,1.5157894736842106,178.71486372191373,3,48.0,27.0,21.0,0.022854477,0.022854477,0.02140062957505916,0,0.3448581560283688,389,0.8217245614680293
61,S61,24,8,32,3.0,1.7473684210526317,52.4237636744859,5,32.0,24.0,8.0,0.015391791,0.015391791,0.014642112298346825,0,0.47580645161290325,236,0.5485865209655088
73,S73,24,10,34,3.0,1.694736842105263,56.003252427965194,4,34.0,24.0,10.0,0.016324626,0.016324626,0.015199241435407854,0,0.46880570409982175,263,0.670549567367304
81,S81,24,2,26,3.0,1.7789473684210526,32.07749371506339,4,26.0,24.0,2.0,0.012593283,0.012593283,0.011930674056070522,0,0.4676923076923077,152,0.5189874254877896
38,S38,23,24,47,3.0,1.5578947368421052,136.94048846878,4,47.0,23.0,24.0,0.02238806,0.02238806,0.020758545269721086,0,0.42183163737280294,456,0.8485758821725816
69,S69,22,18,40,3.0,1.6631578947368422,70.09787577162095,3,40.0,22.0,18.0,0.019123135,0.019123135,0.01769722919640702,0,0.37435897435897436,292,0.73199340676595
37,S37,21,39,60,3.0,1.4210526315789473,276.7087653020459,5,60.0,21.0,39.0,0.028451493,0.028451493,0.026273484997217714,0,0.3361581920903955,595,1.0
59,S59,21,11,32,3.0,1.7578947368421052,178.66396601389934,0,32.0,21.0,11.0,0.015391791,0.015391791,0.016116005289152958,0,0.4959677419354839,246,0.6388459292101857
77,S77,21,4,25,3.0,1.831578947368421,8.55106423199882,0,25.0,21.0,4.0,0.012126866,0.012126866,0.011158258193147332,0,0.7066666666666667,212,0.5831797322571174
78,S78,21,8,29,3.0,1.7789473684210526,15.534458971106123,0,29.0,21.0,8.0,0.013992538,0.013992538,0.012818077486925592,0,0.6379310344827587,259,0.6251328965405817
49,S49,20,10,30,3.0,1.736842105263158,35.910947694933554,0,30.0,20.0,10.0,0.014458955,0.014458955,0.013455992891261,0,0.5264367816091954,229,0.6082255599311133
60,S60,20,13,33,3.0,1.6842105263157894,78.10967552408765,5,33.0,20.0,13.0,0.015858209,0.015858209,0.01490880958646541,0,0.49053030303030304,259,0.650629216987754
50,S50,16,12,28,3.0,1.8105263157894738,149.07796919545578,5,28.0,16.0,12.0,0.013526119,0.013526119,0.014466422207284162,0,0.40476190476190477,153,0.45740364704731556
80,S80,16,1,17,3.0,2.042105263157895,4.187928924590652,0,17.0,16.0,1.0,0.008395523,0.008395523,0.00804017272394112,0,0.5735294117647058,78,0.3654425788269164
43,S43,15,5,20,3.0,1.8210526315789475,42.96311982138656,4,20.0,15.0,5.0,0.009794776,0.009794776,0.009915157974975535,0,0.42105263157894735,80,0.3353407901850261
46,S46,14,21,35,3.0,1.7263157894736842,72.6715429529022,5,35.0,14.0,21.0,0.016791046,0.016791046,0.015997739543928705,0,0.40672268907563025,242,0.6042617882063334
79,S79,14,6,20,3.0,1.8526315789473684,24.980793918461618,3,20.0,14.0,6.0,0.009794776,0.009794776,0.009635129130076069,0,0.42105263157894735,80,0.417498211731242
34,S34,13,39,52,3.0,1.5157894736842106,155.29990398456414,3,52.0,13.0,39.0,0.02472015,0.02472015,0.02274980667285756,0,0.4079939668174962,541,0.9337289298353242
35,S35,13,19,32,3.0,1.7473684210526317,94.56584672218698,4,32.0,13.0,19.0,0.015391791,0.015391791,0.015218022279707926,0,0.4153225806451613,206,0.5384705022672098
63,S63,13,4,17,3.0,1.9473684210526316,6.092348620636144,5,17.0,13.0,4.0,0.008395523,0.008395523,0.008405143020304841,0,0.6764705882352942,92,0.2861621734704807
88,S88,13,2,15,3.0,1.9894736842105263,2.9189386509054964,3,15.0,13.0,2.0,0.0074626864,0.0074626864,0.007314010343396864,0,0.6190476190476191,65,0.35049634355050563
