Source,Target, id, Weight
1,7,1,2
1,16,2,1
1,19,3,1
1,31,4,1
1,38,5,1
1,47,6,2
1,67,7,4
1,74,8,1
1,78,9,4
1,98,10,1
2,3,11,3
2,5,12,1
2,9,13,1
2,10,14,1
2,14,15,1
2,20,16,4
2,21,17,1
2,22,18,2
2,27,19,2
2,31,20,1
2,34,21,7
2,36,22,1
2,37,23,1
2,38,24,1
2,40,25,2
2,42,26,2
2,43,27,1
2,44,28,1
2,45,29,7
2,47,30,2
2,55,31,1
2,57,32,1
2,58,33,1
2,59,34,2
2,60,35,1
2,62,36,2
2,68,37,1
2,74,38,2
2,78,39,1
2,79,40,3
2,80,41,3
2,85,42,1
2,93,43,1
2,94,44,1
2,96,45,1
2,97,46,2
2,98,47,1
2,99,48,1
3,5,49,2
3,6,50,1
3,7,51,2
3,9,52,2
3,10,53,2
3,11,54,3
3,12,55,1
3,13,56,2
3,14,57,2
3,20,58,1
3,21,59,1
3,22,60,2
3,24,61,2
3,27,62,1
3,28,63,1
3,29,64,2
3,31,65,1
3,33,66,1
3,36,67,1
3,37,68,2
3,38,69,1
3,39,70,3
3,40,71,1
3,41,72,1
3,42,73,2
3,45,74,2
3,47,75,3
3,48,76,1
3,50,77,1
3,52,78,2
3,54,79,2
3,55,80,2
3,57,81,1
3,58,82,2
3,59,83,2
3,62,84,2
3,63,85,1
3,64,86,1
3,68,87,4
3,71,88,4
3,72,89,1
3,75,90,1
3,76,91,5
3,77,92,1
3,78,93,3
3,79,94,3
3,80,95,2
3,81,96,3
3,82,97,1
3,83,98,1
3,84,99,1
3,85,100,2
3,86,101,1
3,87,102,1
3,89,103,1
3,90,104,1
3,91,105,1
3,92,106,1
3,93,107,1
3,94,108,1
3,97,109,1
4,6,110,2
4,7,111,1
4,9,112,2
4,19,113,1
4,21,114,4
4,24,115,4
4,26,116,1
4,27,117,1
4,28,118,1
4,30,119,1
4,32,120,1
4,33,121,2
4,36,122,1
4,37,123,1
4,42,124,1
4,47,125,1
4,57,126,1
4,66,127,1
4,67,128,1
4,70,129,1
4,73,130,1
4,79,131,1
4,94,132,1
5,6,133,1
5,7,134,2
5,9,135,1
5,10,136,2
5,11,137,3
5,12,138,1
5,13,139,2
5,14,140,1
5,20,141,1
5,21,142,1
5,22,143,1
5,24,144,2
5,26,145,1
5,27,146,1
5,28,147,1
5,29,148,2
5,31,149,1
5,33,150,1
5,36,151,1
5,37,152,3
5,39,153,3
5,40,154,1
5,41,155,1
5,42,156,2
5,45,157,2
5,47,158,1
5,48,159,1
5,52,160,2
5,54,161,2
5,55,162,1
5,58,163,2
5,59,164,2
5,62,165,2
5,63,166,1
5,64,167,1
5,68,168,1
5,71,169,3
5,72,170,1
5,75,171,1
5,76,172,4
5,77,173,1
5,78,174,3
5,79,175,2
5,80,176,2
5,81,177,2
5,82,178,1
5,83,179,1
5,84,180,1
5,85,181,1
5,86,182,1
5,87,183,1
5,90,184,1
5,91,185,1
5,92,186,1
5,93,187,1
5,94,188,1
5,97,189,1
5,98,190,1
6,7,191,1
6,9,192,2
6,10,193,1
6,11,194,1
6,14,195,1
6,18,196,1
6,20,197,4
6,21,198,1
6,22,199,4
6,26,200,1
6,27,201,2
6,30,202,1
6,31,203,2
6,32,204,4
6,34,205,7
6,35,206,5
6,36,207,1
6,37,208,2
6,38,209,1
6,40,210,2
6,42,211,2
6,43,212,1
6,44,213,5
6,45,214,7
6,47,215,2
6,49,216,1
6,55,217,1
6,57,218,1
6,58,219,1
6,59,220,2
6,60,221,1
6,62,222,2
6,74,223,3
6,78,224,1
6,79,225,4
6,80,226,3
6,85,227,1
6,93,228,1
6,94,229,1
6,96,230,1
6,97,231,2
6,98,232,1
6,99,233,1
7,8,234,2
7,9,235,5
7,10,236,3
7,12,237,1
7,13,238,2
7,14,239,1
7,15,240,4
7,16,241,2
7,17,242,3
7,19,243,3
7,20,244,4
7,21,245,3
7,22,246,2
7,24,247,3
7,26,248,2
7,27,249,3
7,28,250,2
7,29,251,2
7,30,252,3
7,31,253,2
7,32,254,3
7,33,255,4
7,34,256,8
7,35,257,1
7,36,258,2
7,37,259,1
7,38,260,3
7,39,261,3
7,40,262,3
7,42,263,3
7,43,264,3
7,44,265,3
7,45,266,7
7,47,267,4
7,49,268,1
7,51,269,1
7,52,270,1
7,54,271,1
7,55,272,2
7,57,273,2
7,58,274,3
7,59,275,2
7,60,276,1
7,61,277,1
7,62,278,3
7,64,279,2
7,65,280,2
7,66,281,3
7,67,282,1
7,69,283,1
7,70,284,4
7,71,285,1
7,73,286,1
7,74,287,5
7,76,288,2
7,78,289,4
7,79,290,7
7,80,291,3
7,81,292,1
7,83,293,3
7,85,294,1
7,86,295,1
7,87,296,3
7,89,297,2
7,93,298,3
7,94,299,1
7,95,300,1
7,96,301,2
7,97,302,2
7,98,303,3
7,99,304,2
8,17,305,1
8,18,306,1
8,19,307,1
8,22,308,1
8,26,309,1
8,28,310,1
8,30,311,1
8,32,312,2
8,33,313,2
8,37,314,1
8,42,315,1
8,51,316,1
8,57,317,1
8,64,318,1
8,66,319,1
8,67,320,1
8,69,321,1
8,70,322,1
8,73,323,1
8,76,324,1
8,91,325,1
8,94,326,1
8,96,327,1
9,10,328,2
9,11,329,6
9,12,330,1
9,13,331,2
9,14,332,1
9,16,333,1
9,18,334,1
9,19,335,2
9,20,336,1
9,21,337,3
9,22,338,3
9,24,339,5
9,26,340,2
9,27,341,3
9,28,342,2
9,29,343,3
9,30,344,2
9,31,345,3
9,32,346,1
9,33,347,3
9,36,348,2
9,37,349,5
9,38,350,1
9,39,351,4
9,40,352,1
9,41,353,1
9,42,354,3
9,44,355,5
9,45,356,6
9,47,357,2
9,48,358,1
9,49,359,1
9,52,360,2
9,54,361,3
9,55,362,2
9,57,363,1
9,58,364,3
9,59,365,2
9,62,366,2
9,63,367,1
9,64,368,4
9,66,369,1
9,67,370,1
9,68,371,1
9,69,372,2
9,70,373,1
9,71,374,4
9,72,375,1
9,73,376,1
9,74,377,2
9,75,378,2
9,76,379,6
9,77,380,2
9,78,381,5
9,79,382,6
9,80,383,2
9,81,384,3
9,82,385,1
9,83,386,1
9,84,387,1
9,85,388,1
9,86,389,1
9,87,390,1
9,90,391,1
9,91,392,1
9,92,393,1
9,93,394,1
9,94,395,2
9,97,396,1
9,98,397,1
10,14,398,1
10,19,399,1
10,22,400,2
10,26,401,1
10,27,402,2
10,28,403,1
10,30,404,1
10,31,405,1
10,32,406,1
10,33,407,2
10,36,408,2
10,37,409,1
10,38,410,1
10,45,411,1
10,47,412,3
10,55,413,1
10,57,414,2
10,58,415,1
10,59,416,1
10,66,417,1
10,70,418,1
10,73,419,1
10,74,420,1
10,79,421,3
10,85,422,1
10,94,423,1
10,97,424,1
11,14,425,3
11,17,426,1
11,18,427,1
11,22,428,7
11,27,429,4
11,31,430,3
11,36,431,4
11,37,432,2
11,38,433,3
11,45,434,3
11,47,435,7
11,51,436,1
11,55,437,3
11,57,438,3
11,58,439,3
11,59,440,3
11,76,441,1
11,79,442,7
11,81,443,1
11,84,444,1
11,85,445,3
11,86,446,1
11,91,447,1
11,96,448,1
11,97,449,3
12,14,450,1
12,21,451,2
12,22,452,2
12,24,453,2
12,27,454,1
12,28,455,1
12,31,456,1
12,36,457,1
12,38,458,1
12,45,459,1
12,47,460,2
12,52,461,1
12,55,462,1
12,57,463,1
12,58,464,1
12,59,465,1
12,79,466,3
12,85,467,1
12,88,468,1
12,92,469,1
12,96,470,1
12,97,471,1
13,14,472,2
13,17,473,1
13,18,474,1
13,22,475,5
13,27,476,3
13,31,477,2
13,36,478,3
13,37,479,1
13,38,480,2
13,45,481,2
13,47,482,5
13,51,483,1
13,55,484,2
13,56,485,1
13,57,486,2
13,58,487,2
13,59,488,2
13,61,489,1
13,70,490,1
13,79,491,5
13,85,492,2
13,91,493,1
13,95,494,1
13,96,495,1
13,97,496,2
14,20,497,1
14,21,498,1
14,22,499,3
14,24,500,2
14,27,501,1
14,28,502,1
14,29,503,2
14,31,504,2
14,33,505,1
14,36,506,1
14,37,507,2
14,38,508,1
14,39,509,3
14,40,510,1
14,41,511,1
14,42,512,2
14,45,513,3
14,47,514,2
14,48,515,1
14,52,516,2
14,54,517,2
14,55,518,2
14,57,519,1
14,58,520,3
14,59,521,3
14,62,522,2
14,63,523,1
14,64,524,1
14,68,525,1
14,71,526,3
14,72,527,1
14,75,528,1
14,76,529,4
14,77,530,1
14,78,531,3
14,79,532,3
14,80,533,2
14,81,534,2
14,82,535,1
14,83,536,1
14,84,537,1
14,85,538,2
14,86,539,1
14,87,540,1
14,90,541,1
14,91,542,1
14,92,543,1
14,93,544,1
14,94,545,1
14,97,546,2
15,19,547,1
15,21,548,2
15,24,549,2
15,26,550,1
15,28,551,1
15,30,552,1
15,32,553,2
15,33,554,2
15,57,555,1
15,64,556,2
15,66,557,1
15,69,558,2
15,70,559,1
15,73,560,1
16,24,561,1
16,27,562,1
16,29,563,2
16,30,564,1
16,32,565,1
16,34,566,1
16,36,567,1
16,39,568,1
16,47,569,1
16,54,570,1
16,55,571,1
16,62,572,1
16,64,573,2
16,69,574,1
16,71,575,1
16,78,576,1
16,79,577,2
16,86,578,1
16,98,579,1
17,18,580,1
17,19,581,1
17,22,582,1
17,26,583,2
17,28,584,1
17,30,585,2
17,31,586,1
17,32,587,2
17,33,588,3
17,37,589,2
17,44,590,2
17,50,591,1
17,51,592,4
17,57,593,2
17,61,594,2
17,62,595,2
17,64,596,1
17,65,597,1
17,66,598,1
17,67,599,1
17,69,600,1
17,70,601,2
17,73,602,1
17,74,603,1
17,75,604,1
17,76,605,1
17,77,606,1
17,78,607,1
17,80,608,1
17,83,609,1
17,85,610,1
17,91,611,3
17,92,612,1
17,93,613,2
17,94,614,1
17,96,615,1
17,98,616,2
18,19,617,1
18,26,618,2
18,28,619,1
18,30,620,3
18,31,621,1
18,32,622,2
18,33,623,3
18,35,624,1
18,37,625,1
18,42,626,1
18,44,627,2
18,50,628,1
18,51,629,3
18,57,630,2
18,61,631,2
18,62,632,1
18,65,633,1
18,66,634,1
18,67,635,2
18,70,636,2
18,73,637,1
18,74,638,1
18,75,639,1
18,76,640,1
18,77,641,1
18,78,642,1
18,80,643,1
18,83,644,1
18,85,645,1
18,91,646,2
18,92,647,1
18,93,648,2
18,94,649,2
18,98,650,2
19,24,651,1
19,27,652,1
19,29,653,2
19,30,654,1
19,32,655,2
19,34,656,1
19,36,657,1
19,39,658,1
19,47,659,1
19,54,660,1
19,55,661,1
19,62,662,1
19,64,663,1
19,71,664,1
19,78,665,1
19,79,666,2
19,86,667,1
19,98,668,1
20,22,669,2
20,27,670,1
20,31,671,1
20,36,672,1
20,38,673,1
20,41,674,2
20,42,675,4
20,44,676,2
20,45,677,9
20,47,678,2
20,48,679,2
20,55,680,1
20,57,681,1
20,58,682,1
20,59,683,3
