Source,Target, id, Weight
1,3,1,2
1,5,2,1
1,7,3,2
1,12,4,2
1,13,5,3
1,14,6,2
1,15,7,2
1,16,8,2
1,17,9,1
1,22,10,1
1,29,11,2
1,30,12,4
1,32,13,2
1,33,14,2
1,50,15,2
1,59,16,3
1,61,17,1
1,75,18,1
1,78,19,2
1,80,20,1
1,81,21,1
1,84,22,1
1,85,23,1
1,92,24,1
1,95,25,2
1,97,26,1
1,98,27,1
2,3,28,6
2,8,29,1
2,12,30,6
2,13,31,6
2,14,32,6
2,15,33,7
2,20,34,5
2,44,35,2
2,50,36,6
2,57,37,2
2,64,38,1
2,70,39,2
2,97,40,4
3,6,41,1
3,9,42,2
3,10,43,1
3,12,44,4
3,13,45,3
3,14,46,4
3,15,47,5
3,16,48,2
3,17,49,1
3,20,50,6
3,22,51,1
3,24,52,1
3,27,53,4
3,29,54,3
3,31,55,1
3,34,56,1
3,35,57,1
3,38,58,1
3,40,59,1
3,41,60,1
3,50,61,2
3,56,62,1
3,63,63,1
3,64,64,3
3,66,65,3
3,67,66,1
3,72,67,1
3,81,68,1
3,84,69,1
3,85,70,1
3,86,71,2
3,89,72,1
3,94,73,1
3,96,74,1
3,97,75,1
4,13,76,1
4,14,77,1
4,18,78,1
4,37,79,1
4,45,80,1
4,57,81,1
4,59,82,2
4,61,83,2
4,63,84,1
4,64,85,1
4,66,86,3
4,72,87,1
4,73,88,3
4,86,89,1
4,91,90,2
4,92,91,2
4,97,92,2
4,98,93,2
5,30,94,1
5,37,95,2
5,67,96,1
6,7,97,1
6,12,98,1
6,13,99,1
6,14,100,1
6,15,101,1
6,30,102,1
6,32,103,1
6,33,104,1
6,37,105,1
6,50,106,1
6,59,107,1
6,78,108,1
6,95,109,1
7,9,110,1
7,14,111,1
7,16,112,1
7,17,113,2
7,21,114,2
7,22,115,1
7,23,116,2
7,25,117,2
7,27,118,1
7,30,119,1
7,31,120,1
7,33,121,1
7,45,122,1
7,46,123,1
7,47,124,2
7,48,125,1
7,49,126,2
7,50,127,5
7,55,128,2
7,64,129,1
7,69,130,1
7,74,131,1
7,75,132,1
7,78,133,1
7,81,134,1
7,83,135,1
7,84,136,1
7,87,137,1
8,9,138,1
8,10,139,1
8,12,140,1
8,20,141,1
9,12,142,2
9,13,143,2
9,14,144,2
9,15,145,2
9,20,146,4
9,30,147,1
9,32,148,1
9,33,149,1
9,37,150,1
9,50,151,2
9,59,152,1
9,78,153,1
9,95,154,1
10,12,155,1
10,13,156,1
10,14,157,1
10,15,158,1
10,20,159,4
10,37,160,1
10,50,161,1
10,67,162,1
11,15,163,1
11,29,164,1
11,86,165,1
12,13,166,3
12,14,167,4
12,15,168,5
12,20,169,10
12,24,170,1
12,27,171,4
12,29,172,3
12,31,173,1
12,34,174,1
12,38,175,1
12,40,176,1
12,41,177,1
12,50,178,2
12,56,179,1
12,63,180,1
12,64,181,3
12,66,182,3
12,67,183,1
12,72,184,1
12,86,185,2
12,89,186,1
12,94,187,1
12,96,188,1
12,97,189,1
13,14,190,3
13,15,191,4
13,20,192,6
13,24,193,1
13,27,194,4
13,29,195,5
13,31,196,1
13,34,197,2
13,35,198,1
13,37,199,1
13,38,200,1
13,40,201,1
13,41,202,1
13,44,203,1
13,50,204,2
13,56,205,1
13,63,206,1
13,64,207,3
13,66,208,3
13,67,209,2
13,72,210,1
13,86,211,2
13,89,212,1
13,94,213,1
13,96,214,1
13,97,215,1
14,15,216,5
14,16,217,1
14,20,218,7
14,24,219,1
14,27,220,4
14,29,221,3
14,30,222,1
14,31,223,1
14,32,224,1
14,33,225,1
14,34,226,1
14,37,227,1
14,38,228,2
14,39,229,1
14,40,230,1
14,41,231,1
14,45,232,1
14,50,233,3
14,56,234,1
14,59,235,2
14,61,236,1
14,63,237,2
14,64,238,4
14,66,239,5
14,67,240,2
14,72,241,2
14,73,242,2
14,78,243,1
14,86,244,4
14,89,245,1
14,91,246,1
14,92,247,1
14,94,248,1
14,95,249,1
14,96,250,1
14,97,251,2
14,98,252,1
15,16,253,1
15,20,254,7
15,24,255,1
15,27,256,4
15,29,257,3
15,31,258,1
15,34,259,1
15,35,260,1
15,38,261,2
15,39,262,1
15,40,263,1
15,41,264,1
15,50,265,4
15,56,266,1
15,63,267,1
15,64,268,3
15,66,269,5
15,67,270,1
15,72,271,1
15,86,272,4
15,89,273,1
15,94,274,1
15,96,275,1
15,97,276,1
16,18,277,2
16,30,278,1
16,31,279,1
16,32,280,1
16,33,281,1
16,38,282,1
16,42,283,1
16,59,284,1
16,63,285,2
16,64,286,2
16,67,287,1
16,78,288,1
16,84,289,1
16,86,290,2
16,89,291,1
16,95,292,1
16,96,293,1
17,18,294,1
17,30,295,2
17,32,296,2
17,33,297,2
17,35,298,1
17,59,299,2
17,63,300,1
17,64,301,1
17,78,302,2
17,86,303,1
17,95,304,2
18,22,305,1
18,45,306,1
18,59,307,1
18,61,308,1
18,63,309,1
18,64,310,1
18,66,311,2
18,72,312,1
18,73,313,2
18,81,314,1
18,84,315,1
18,85,316,1
18,86,317,1
18,91,318,1
18,92,319,1
18,97,320,1
18,98,321,1
19,37,322,3
19,67,323,2
20,38,324,1
20,50,325,5
20,60,326,2
20,66,327,2
20,67,328,1
20,75,329,2
20,86,330,1
20,89,331,1
20,96,332,1
21,25,333,1
21,30,334,2
21,31,335,1
21,32,336,3
21,33,337,3
21,44,338,1
21,47,339,2
21,48,340,2
21,49,341,1
21,53,342,1
21,54,343,1
21,57,344,1
21,59,345,3
21,70,346,1
21,75,347,1
21,76,348,1
21,78,349,3
21,79,350,2
21,80,351,1
21,81,352,1
21,84,353,1
21,85,354,1
21,89,355,1
21,95,356,2
22,30,357,1
22,32,358,1
22,33,359,1
22,59,360,1
22,63,361,1
22,64,362,1
22,78,363,1
22,86,364,1
22,95,365,1
23,30,366,2
23,32,367,2
23,33,368,2
23,59,369,2
23,78,370,2
23,95,371,2
24,50,372,1
25,30,373,1
25,31,374,1
25,32,375,1
25,33,376,1
25,35,377,2
25,37,378,1
25,46,379,1
25,49,380,1
25,50,381,2
25,59,382,1
25,67,383,1
25,78,384,1
25,84,385,1
25,87,386,1
25,95,387,1
26,37,388,1
26,57,389,1
26,67,390,1
27,30,391,1
27,32,392,1
27,33,393,1
27,50,394,1
27,59,395,1
27,64,396,3
27,78,397,1
27,95,398,1
28,50,399,1
29,31,400,2
29,37,401,1
29,50,402,3
29,56,403,2
29,66,404,2
29,86,405,1
30,31,406,1
30,32,407,1
30,33,408,2
30,34,409,2
30,37,410,1
30,44,411,2
30,45,412,3
30,46,413,1
30,47,414,2
30,48,415,1
30,49,416,2
30,50,417,7
30,55,418,3
30,59,419,2
30,61,420,1
30,64,421,1
30,69,422,1
30,70,423,1
30,74,424,2
30,75,425,2
30,78,426,2
30,80,427,1
30,81,428,1
30,83,429,2
30,84,430,1
30,87,431,1
30,95,432,1
30,97,433,1
31,32,434,2
31,33,435,2
31,44,436,1
31,46,437,1
31,47,438,2
31,48,439,2
31,49,440,2
31,50,441,3
31,53,442,1
31,54,443,1
31,57,444,1
31,59,445,2
31,70,446,1
31,75,447,1
31,76,448,1
31,78,449,2
31,79,450,2
31,80,451,1
31,81,452,1
31,84,453,2
31,85,454,1
31,87,455,1
31,89,456,1
31,95,457,1
32,33,458,1
32,35,459,1
32,45,460,1
32,46,461,2
32,47,462,2
32,48,463,1
32,49,464,3
32,50,465,7
32,55,466,2
32,64,467,1
32,69,468,1
32,74,469,1
32,75,470,1
32,78,471,1
32,81,472,1
32,83,473,1
32,84,474,2
32,87,475,2
33,35,476,1
33,45,477,1
33,46,478,2
33,47,479,2
33,48,480,1
33,49,481,3
33,50,482,7
33,55,483,2
33,59,484,1
33,64,485,1
33,69,486,1
33,74,487,1
33,75,488,1
33,78,489,2
33,81,490,1
33,83,491,1
33,84,492,2
33,87,493,2
33,95,494,1
34,41,495,1
34,46,496,1
34,47,497,1
34,50,498,2
34,52,499,1
34,67,500,1
34,81,501,1
34,96,502,1
34,97,503,1
35,42,504,2
35,49,505,1
35,50,506,1
35,53,507,1
35,55,508,1
35,56,509,1
35,57,510,1
35,59,511,1
35,65,512,1
35,83,513,1
35,85,514,1
35,90,515,1
35,91,516,1
37,38,517,1
37,39,518,4
37,40,519,1
37,41,520,3
37,45,521,3
37,47,522,1
37,48,523,1
37,55,524,1
37,57,525,1
37,58,526,1
37,59,527,2
37,61,528,1
37,62,529,1
37,63,530,1
37,64,531,1
37,66,532,3
37,67,533,4
37,69,534,1
37,70,535,3
37,71,536,1
37,72,537,2
37,73,538,3
37,74,539,1
37,75,540,1
37,78,541,1
37,81,542,1
37,83,543,1
37,85,544,2
37,86,545,3
37,87,546,1
37,89,547,1
37,90,548,1
37,91,549,2
37,92,550,2
37,93,551,1
37,95,552,2
37,96,553,1
37,97,554,1
37,98,555,2
38,39,556,1
38,50,557,1
38,67,558,2
38,86,559,1
38,89,560,1
38,96,561,1
39,41,562,2
39,42,563,1
39,67,564,3
39,72,565,2
39,84,566,1
39,89,567,1
39,96,568,1
40,50,569,1
41,44,570,1
41,50,571,1
41,52,572,1
41,63,573,1
41,64,574,1
41,67,575,2
41,68,576,1
41,72,577,1
41,84,578,1
41,85,579,1
41,92,580,1
41,94,581,1
41,98,582,1
42,52,583,1
42,63,584,1
42,64,585,1
42,72,586,1
42,84,587,1
42,85,588,1
42,94,589,1
44,67,590,1
45,67,591,1
45,92,592,2
45,93,593,2
45,98,594,2
46,47,595,3
46,48,596,2
46,49,597,1
46,53,598,1
46,54,599,1
46,57,600,1
46,59,601,3
46,70,602,1
46,75,603,1
46,76,604,2
46,78,605,2
46,79,606,2
46,80,607,1
46,81,608,1
46,82,609,1
46,84,610,1
46,85,611,1
46,89,612,1
46,95,613,2
47,49,614,2
47,50,615,4
47,57,616,1
47,59,617,1
47,63,618,1
47,64,619,1
47,67,620,1
47,72,621,1
47,78,622,1
47,84,623,2
47,87,624,2
47,94,625,1
47,95,626,2
48,49,627,2
48,50,628,4
48,59,629,1
48,78,630,1
48,84,631,2
48,87,632,2
48,95,633,1
49,50,634,2
49,53,635,1
49,54,636,1
49,57,637,1
49,59,638,3
49,70,639,1
49,75,640,1
49,76,641,1
49,78,642,3
49,79,643,2
49,80,644,1
49,81,645,1
49,84,646,2
49,85,647,1
49,87,648,1
49,89,649,1
49,95,650,2
50,53,651,2
50,54,652,2
50,56,653,1
50,57,654,2
50,59,655,7
50,61,656,1
50,63,657,1
50,64,658,3
50,66,659,3
50,67,660,1
50,70,661,2
50,72,662,1
50,75,663,3
50,76,664,2
50,78,665,6
50,79,666,4
50,80,667,3
50,81,668,2
50,84,669,2
50,85,670,2
50,86,671,2
50,89,672,3
50,94,673,1
50,95,674,4
50,96,675,1
50,97,676,2
53,59,677,1
53,76,678,1
53,82,679,1
53,84,680,1
53,87,681,1
53,95,682,1
54,84,683,1
54,87,684,1
55,59,685,1
55,67,686,1
55,78,687,1
55,95,688,1
57,58,689,1
57,59,690,1
57,61,691,1
57,63,692,1
57,64,693,1
57,66,694,2
57,70,695,2
57,72,696,1
57,73,697,3
57,86,698,1
57,91,699,1
57,92,700,1
57,97,701,1
57,98,702,1
58,67,703,1
59,64,704,1
59,69,705,1
59,74,706,1
59,75,707,1
59,78,708,1
59,81,709,1
59,83,710,1
59,84,711,2
59,87,712,2
59,92,713,1
59,98,714,1
60,86,715,2
60,92,716,1
60,98,717,1
61,92,718,1
61,98,719,1
62,67,720,1
62,72,721,1
63,64,722,1
63,81,723,1
63,84,724,1
63,85,725,1
64,66,726,2
64,70,727,2
64,78,728,1
64,81,729,1
64,84,730,1
64,85,731,1
64,86,732,1
64,95,733,1
64,97,734,4
65,94,735,1
65,98,736,1
66,92,737,1
66,98,738,1
67,68,739,1
67,69,740,1
67,70,741,3
67,71,742,1
67,72,743,1
67,73,744,1
67,74,745,1
67,75,746,1
67,78,747,1
67,81,748,1
67,83,749,1
67,85,750,2
67,86,751,3
67,87,752,1
67,89,753,1
67,90,754,1
67,91,755,1
67,92,756,1
67,93,757,1
67,95,758,2
67,96,759,1
67,98,760,1
72,92,761,1
72,98,762,1
73,92,763,2
73,98,764,2
75,78,765,1
75,84,766,1
75,86,767,2
75,87,768,1
75,95,769,1
76,84,770,1
76,87,771,1
78,81,772,1
78,83,773,1
78,84,774,2
78,87,775,2
79,84,776,2
79,87,777,2
80,84,778,1
80,87,779,1
81,84,780,1
81,86,781,1
81,87,782,1
81,95,783,1
82,94,784,1
82,95,785,2
84,85,786,1
84,86,787,1
84,87,788,1
84,89,789,1
84,95,790,1
85,86,791,1
85,87,792,1
85,92,793,1
85,98,794,1
86,89,795,1
86,94,796,1
86,96,797,1
87,89,798,1
87,95,799,1
91,92,800,1
91,98,801,1
92,97,802,1
94,97,803,2
97,98,804,3
