source,target,id,weight
2,3,1,1
2,137,2,1
3,2,3,1
3,23,4,1
3,33,5,1
3,46,6,1
3,66,7,1
3,105,8,1
3,122,9,1
3,131,10,1
3,136,11,1
3,137,12,1
3,148,13,1
3,152,14,1
3,156,15,1
3,164,16,1
3,183,17,1
3,188,18,1
3,201,19,1
3,206,20,1
3,215,21,1
4,158,22,1
5,29,23,1
5,148,24,1
5,215,25,1
8,21,26,1
8,22,27,1
8,27,28,1
8,32,29,1
8,41,30,1
8,42,31,1
8,45,32,1
8,46,33,1
8,66,34,1
8,68,35,1
8,73,36,1
8,74,37,1
8,76,38,1
8,78,39,1
8,90,40,1
8,92,41,1
8,98,42,1
8,99,43,1
8,127,44,1
8,135,45,1
8,147,46,1
8,165,47,1
8,174,48,1
8,175,49,1
8,198,50,1
8,232,51,1
9,10,52,2
9,47,53,1
9,89,54,2
9,150,55,1
10,9,56,2
10,150,57,1
10,182,58,1
11,18,59,1
15,136,60,2
15,144,61,1
16,19,62,1
18,11,63,1
19,6,64,1
19,16,65,1
19,34,66,1
19,35,67,1
19,37,68,1
19,67,69,1
19,70,70,1
19,75,71,1
19,76,72,1
19,86,73,1
19,94,74,1
19,95,75,1
19,110,76,1
19,113,77,1
19,125,78,1
19,133,79,1
19,134,80,1
19,140,81,1
19,141,82,1
19,142,83,1
19,158,84,1
19,168,85,1
19,171,86,1
19,179,87,1
19,204,88,1
19,208,89,1
19,213,90,1
20,84,91,1
20,183,92,2
21,8,93,1
21,22,94,1
21,27,95,1
21,32,96,1
21,41,97,1
21,42,98,1
21,45,99,1
21,46,100,1
21,66,101,1
21,68,102,1
21,73,103,1
21,74,104,1
21,76,105,1
21,78,106,1
21,90,107,1
21,92,108,1
21,98,109,1
21,99,110,1
21,127,111,1
21,135,112,1
21,147,113,1
21,165,114,1
21,174,115,1
21,175,116,1
21,198,117,1
21,232,118,1
22,8,119,1
22,21,120,1
23,3,121,1
23,126,122,1
23,144,123,1
23,210,124,1
23,235,125,1
27,8,126,1
27,21,127,1
28,40,128,1
29,28,129,1
29,51,130,1
29,52,131,1
29,54,132,1
29,69,133,1
29,87,134,1
29,96,135,1
29,135,136,1
29,191,137,1
29,223,138,1
30,40,139,1
32,8,140,1
32,21,141,1
33,3,142,1
34,57,143,1
34,142,144,1
35,19,145,1
35,65,146,1
35,72,147,1
35,84,148,1
35,103,149,1
35,132,150,1
35,143,151,1
35,163,152,1
35,213,153,1
35,216,154,1
35,217,155,1
37,19,156,1
40,28,157,1
41,8,158,1
41,21,159,1
41,38,160,1
41,58,161,1
41,176,162,1
43,5,163,1
43,190,164,1
44,52,165,2
45,185,166,1
45,224,167,1
46,3,168,1
48,120,169,2
48,121,170,2
48,137,171,2
51,29,172,1
51,52,173,1
52,44,174,2
52,135,175,1
54,29,176,1
54,52,177,1
55,93,178,1
56,67,179,1
57,211,180,1
57,224,181,1
58,41,182,1
58,127,183,1
60,185,184,1
65,35,185,1
66,8,186,1
66,21,187,1
67,19,188,1
67,56,189,1
70,19,190,1
72,35,191,1
73,82,192,1
73,149,193,1
73,219,194,1
74,8,195,1
74,21,196,1
75,19,197,1
78,8,198,1
78,21,199,1
78,79,200,1
79,78,201,1
82,73,202,1
83,62,203,1
86,19,204,1
87,135,205,1
88,219,206,1
89,145,207,1
90,8,208,1
90,21,209,1
90,162,210,1
92,8,211,1
92,21,212,1
93,20,213,1
93,55,214,1
94,95,215,1
95,19,216,1
95,57,217,1
95,211,218,1
95,224,219,1
96,29,220,1
96,52,221,1
96,135,222,1
97,8,223,1
98,8,224,1
98,21,225,1
99,8,226,1
99,21,227,1
102,117,228,2
103,35,229,1
105,3,230,1
110,19,231,1
113,19,232,1
117,102,233,2
120,48,234,2
120,144,235,1
121,48,236,2
121,144,237,1
122,3,238,1
122,156,239,2
125,19,240,1
127,8,241,1
127,21,242,1
127,38,243,1
127,58,244,1
127,176,245,1
128,132,246,1
131,3,247,1
132,35,248,1
132,128,249,1
132,186,250,1
132,187,251,1
133,19,252,1
134,19,253,1
135,29,254,1
135,52,255,1
136,3,256,1
136,15,257,2
137,3,258,1
137,48,259,2
140,19,260,1
143,35,261,1
144,15,262,1
144,23,263,1
144,120,264,1
144,121,265,1
144,148,266,1
144,154,267,1
144,159,268,1
144,215,269,1
144,221,270,1
145,89,271,1
147,8,272,1
147,21,273,1
148,15,274,1
150,10,275,1
151,8,276,1
152,3,277,1
153,185,278,1
154,144,279,1
154,191,280,2
156,3,281,1
156,122,282,2
158,4,283,1
158,19,284,1
160,135,285,1
163,35,286,1
164,3,287,1
165,8,288,1
165,21,289,1
168,19,290,1
171,19,291,1
171,142,292,1
174,8,293,1
174,21,294,1
175,8,295,1
175,21,296,1
176,41,297,1
176,127,298,1
177,135,299,1
179,19,300,1
182,10,301,1
183,3,302,1
183,20,303,2
185,60,304,1
185,117,305,1
186,132,306,1
187,132,307,1
188,3,308,1
191,154,309,2
204,19,310,1
206,3,311,1
208,19,312,1
210,23,313,1
210,233,314,1
211,34,315,1
211,57,316,1
211,95,317,1
213,35,318,1
215,15,319,1
216,35,320,1
217,35,321,1
219,88,322,1
223,135,323,1
226,42,324,1
226,233,325,1
232,8,326,1
232,21,327,1
233,7,328,1
233,42,329,1
233,89,330,1
233,226,331,1
235,23,332,1
