id,Label
1,khadya
2,shuru
3,pratirodha
4,karya
5,loga
6,vyakti
7,nama
8,shakti
9,rakta
10,anushasana
11,dudha
12,koshika
13,asthi
14,avastha
15,phala
16,hara
17,kama
18,upachara
19,padartha
20,tarika
21,samaya
22,bimari
23,jaldi
24,tantra
25,kami
26,tutana
27,darda
28,mahina
29,kaha
30,yoddha
31,vidyarthi
32,khana
33,upayoga
34,chinha
35,pani
36,{angaanga}
37,bhaga
38,sharira
39,antarala
40,dina
41,kshamata
42,?pareshana
43,badha
44,pradhanacharya
45,yuddha
46,mam
47,kandha
48,chahata
49,akramana
50,anyaya
51,sahitya
52,labha
53,adhyapaka
54,lata
55,hridaya
56,shotha
57,upayoga
58,avashyakata
59,mahila
60,sahasa
61,lakshya
62,adata
63,karana
64,dhyana
65,vatavarana
66,visha
67,chikitsalaya
68,kshati
69,jilli
70,{paudhapaudha}
71,manava
72,tarka
73,ananda
74,arama
75,intaja?ara
76,ashraya
77,sahayata
78,gardana
79,chikitsaka
80,prabhava
81,manga
82,dhara
83,aushadhi
84,pratikriya
85,utpada
86,koshisha
87,samasya
88,parshva
89,kahani
90,sangita
91,yakrita
92,pustaka
93,parivara
94,phula
95,gaya
96,roganu
97,kshati
98,khasara
99,mahatva
100,shalya_chikitsaka
101,dhyana
102,joda?
103,gala
104,tvacha
105,chechaka
106,chetavani
107,chhutakara
108,prasava
109,jivana
110,yuva
111,{jijita}
112,jivanu
113,jeba
114,shaili
115,tanava
116,vyayama
117,jvara
118,dimaga?
119,mastishka
120,shatru
121,bahuta
122,roga_nidana
123,ninda
124,gambhirata
125,nirnaya
126,paramarsha
127,poshahara
128,mavada
129,prakara
130,pravesha
131,dabava
132,kaidi
133,bachcha
134,bachcha
135,barpha
136,vriddhi
137,bimara
138,bhumika
139,bhula
140,kitanu
141,khana
142,nahim
143,mata
144,madya
145,sigareta
146,sainika
147,kaksha
148,varsha
149,upavasa
150,kabja
151,dharmagrantha
152,sankramana
153,sambandha
154,vastavikata
155,sahakarmi
156,raksha
157,sukshmadarshi
158,svasthya
159,karyavahi
160,mara
161,chaubisa
162,daurana
163,pachana
164,sima
165,puchha
166,prophesara
167,lasika
168,lauta
169,rodhakshamata
170,majja
171,garbhavastha
172,bara
173,mahavidyalaya
174,hindu
175,vijnana
176,sunana
177,samana
178,pratada?na
179,poshana
180,machisa
181,sandarbha
182,tathya
183,mamala
184,gurda
185,kriya
186,shveta
187,pahuncha
188,phuta
189,pralobhana
190,inkara
191,parikshana
192,palana
193,shvasanali
194,thaimasa
195,siddhanta
196,sankhya
197,pasanda
198,ora
199,yaham
200,yantravinyasa
201,bija
202,uttarajivita
203,paika
