Id,Label
1,Khaadya
2,eeshvara
3,saamanjasya
4,shuroo
5,dara
6,sanvedanaa
7,virodha
8,anusandhaana
9,khoja
10,loga
11,vyakti
12,rakta
13,ootaka
14,eesaa_maseeha
15,eesaaee
16,{haathahaathaa}
17,maadhyama
18,faayadaa
19,haddee
20,avasthaa
21,aanta
22,fala
23,padaartha
24,jaanavara
25,bhoomikaa
26,nuskhaa
27,maatraa
28,purusha
29,kaanoona
30,nathunaa
31,khushee
32,praarthanaa
33,dharma
34,pareekshaa
35,beemaaree
36,masaalaa
37,darda
38,adhikaaree
39,shaaka
40,islaama
41,khaanaa
42,paanee
43,vibhaaga
44,shareera
45,shareeravignaana
46,{aandaaandaa}
47,aanda
48,mrutyu
49,socha
50,yuddha
51,kukrutya
52,aa?kha
53,parvata
54,poorvaja
55,netaa
56,buddha
57,roka
58,jangala
59,hamalaa
60,atisaara
61,paapa
62,laabha
63,vyasana
64,hrudaya
65,adhyayana
66,kalikaa
67,upayoga
68,aavashyakataa
69,kshamaa
70,laalasaa
71,ichchhaa
72,pravrutti
73,aadata
74,kaarana
75,daana
76,sudhaara
77,aapoorti
78,avadhi
79,hathiyaara
80,avasara
81,paristhiti
82,asura
83,vaignaanika
84,drushti
85,astitva
86,janaka
87,aadesha
88,manushya
89,aananda
90,bauddha
91,sahaayataa
92,vaayu
93,chikitsaka
94,prabhaava
95,jeevana
96,maa?ga
97,aasaanee
98,pravaaha
99,itihaasa
100,paranparaa
101,aushadhi
102,pratikriyaa
103,utsaaha
104,koshisha
105,lakshana
106,oorjaa
107,varnana
108,kathaa
109,fefada?aa
110,keeta
111,matsya
112,jela
113,hraasa
114,samaachaara
115,mahaka
116,dhyaana
117,{ghantaghantaa}
118,cheeantee
119,shoka
120,nalikaa
121,pashu
122,chhutakaaraa
123,janana
124,jeebha
125,{jeejeeta}
126,sabja?ee
127,stara
128,saaansa
129,pareekshana
130,mastishka
131,rekha
132,ghanatva
133,neeanda
134,niyantrana
135,hissaa
136,salaaha
137,samaza
138,taraha
139,pravrutti
140,chaapa
141,bachchaa
142,rasa
143,sanchaya
144,beemaara
145,bhookha
146,naheean
147,mahaatmaa
148,vaja?na
149,araba
150,mudraa
151,yojanaa
152,swaada
153,varsha
154,upavaasa
155,dhamanee
156,saatha
157,sardee
158,ghanatva
159,swaasthya
160,gaa?dhee
161,chhauanka
162,dainikee
163,dauraana
164,praayashchita
165,bharaava
166,meela
167,shaitaana
168,salaada
169,samooha
170,baara
171,sangharsha
172,hiandee
173,hiandoo
174,vishvavidyaalaya
175,paraheja
176,vignaana
177,poshana
178,kaayaapalata
179,chayaapachaya
180,tippanee
181,samaya
182,dina
183,vistaara
184,kahanaa
185,pauanda
186,lakshya
187,shikaara
188,dabaava
189,raamaayana
190,maee
191,jarmanee
192,anidraa
193,kamajora
194,yahoodee
195,sairagaaha
196,sukaraata
197,vignapti
198,ullekha
199,nishkriyataa
200,netaa
201,moola
202,ichchhaashakti
203,ora
204,hathiyaara
205,pahalaa
