Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,prarambha,10.0,4.409638554216867,0.0,61,0,1,1,1.0,0.0,1.0,0.002967359,0.002967359,0.0024232981273181985,0,0.0,0,0.06468743340375725
2,dara,9.0,4.530120481927711,0.0,74,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0020794414972974055,0,0.0,0,0.04310246659022475
3,jnana,7.0,3.8795180722891565,308.28393007958243,51,7,2,9,9.0,7.0,2.0,0.011869436,0.011869436,0.009128928663516082,0,0.38095238095238093,8,0.29258525858738943
4,anubhava,8.0,3.9518072289156625,0.08333333333333333,51,2,3,5,5.0,2.0,3.0,0.007418398,0.007418398,0.005173501239584261,0,0.8333333333333334,5,0.2493605008014873
5,samarthana,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.936508350429094E-4,1,0.0,0,0.0
6,virodha,10.0,3.9156626506024095,361.48809523809507,12,3,0,3,3.0,3.0,0.0,0.005934718,0.005934718,0.00481233238029091,0,0.0,0,0.15214138895057436
7,sankalpana,8.0,4.524096385542169,304.6492063492063,75,3,0,3,3.0,3.0,0.0,0.005934718,0.005934718,0.005602325165061034,0,0.0,0,0.076333945855126
8,prarambha,10.0,4.409638554216867,0.0,61,0,1,1,1.0,0.0,1.0,0.002967359,0.002967359,0.0024232981273181985,0,0.0,0,0.06468743340375725
9,karya,8.0,3.1626506024096384,5674.249044313178,1,29,38,67,67.0,29.0,38.0,0.0578635,0.0578635,0.07315202033281124,0,0.007112375533428165,5,0.9441579591960264
10,loga,12.0,5.873493975903615,133.29048017200196,2,2,3,5,5.0,2.0,3.0,0.005934718,0.005934718,0.006360631251222757,0,0.3333333333333333,1,0.03283564829925145
11,vyakti,12.0,5.5,1737.9650753835542,2,9,11,20,20.0,9.0,11.0,0.017804155,0.017804155,0.024537972930043818,0,0.01818181818181818,1,0.06392121429915759
12,bhinna,10.0,5.602409638554217,0.0,75,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0024257688133834422,0,0.0,0,0.012742507924903976
13,upasthi,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,7.936508350429094E-4,2,0.0,0,0.0
14,kshamata,9.0,4.036144578313253,46.91111111111112,4,1,2,3,3.0,1.0,2.0,0.004451039,0.004451039,0.0038874581213308628,0,0.0,0,0.04856199503588401
15,mukha,13.0,6.469879518072289,329.0,2,3,1,4,4.0,3.0,1.0,0.005934718,0.005934718,0.007792625833099987,0,0.0,0,0.022836216594267048
16,rakta,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,7.936508350429094E-4,3,0.0,0,0.0
17,utaka,1.0,1.0,0.0,6,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.005291005566952723,4,0.0,0,0.0022525772182730884
18,koshika,1.0,1.0,0.0,6,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.005291005566952723,4,0.0,0,0.0022525772182730884
19,asthi,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,7.936508350429094E-4,5,0.0,0,0.0
20,sthiti,9.0,2.9819277108433737,3758.126325848067,74,18,27,45,45.0,18.0,27.0,0.041543026,0.041543026,0.03804455768816716,0,0.05128205128205128,18,0.9994362659061431
21,chikitsa,9.0,4.144578313253012,165.0,1,2,2,4,4.0,2.0,2.0,0.004451039,0.004451039,0.004860489023992799,0,0.0,0,0.13968173628854744
22,sanketa,11.0,4.704819277108434,105.86050616050612,75,2,0,2,2.0,2.0,0.0,0.004451039,0.004451039,0.004020427418270627,0,0.0,0,0.02179614449971092
