Source,Target, id, Weight
5,4,1,1
5,21,2,1
5,32,3,1
5,51,4,1
5,58,5,1
5,59,6,1
5,63,7,1
5,65,8,1
5,66,9,1
5,71,10,1
5,103,11,1
5,105,12,1
5,108,13,1
5,119,14,1
5,121,15,1
5,122,16,1
5,133,17,1
5,139,18,1
5,141,19,1
5,143,20,1
6,7,21,2
7,6,22,2
7,10,23,1
7,22,24,1
7,54,25,1
7,110,26,1
9,27,27,1
9,46,28,1
9,108,29,1
9,109,30,1
9,140,31,1
11,14,32,2
12,88,33,2
12,90,34,2
14,11,35,2
15,37,36,1
16,3,37,1
16,24,38,1
16,25,39,1
16,26,40,1
16,33,41,1
16,49,42,1
16,52,43,1
16,69,44,1
16,70,45,1
16,87,46,1
16,95,47,1
16,97,48,1
16,98,49,1
16,111,50,1
16,118,51,1
16,125,52,1
16,135,53,1
21,5,54,1
22,7,55,1
22,110,56,1
24,10,57,2
26,16,58,1
26,50,59,1
26,120,60,1
26,124,61,1
26,142,62,1
29,3,63,1
32,5,64,1
33,16,65,1
35,85,66,2
36,48,67,1
36,65,68,1
36,130,69,1
37,13,70,2
37,15,71,1
37,38,72,1
38,37,73,1
44,32,74,1
46,27,75,1
46,108,76,1
46,109,77,1
46,140,78,1
49,16,79,1
50,26,80,1
51,5,81,1
52,16,82,1
54,7,83,1
54,83,84,1
55,3,85,1
56,5,86,1
58,5,87,1
59,5,88,1
63,136,89,1
63,137,90,1
66,5,91,1
67,99,92,1
69,16,93,1
69,39,94,1
70,16,95,1
71,5,96,1
74,63,97,1
76,13,98,2
83,54,99,1
85,35,100,2
86,36,101,1
88,12,102,2
89,98,103,1
90,12,104,2
92,32,105,1
97,16,106,1
98,16,107,1
98,89,108,1
101,27,109,1
102,27,110,1
103,5,111,1
105,16,112,1
108,5,113,1
110,7,114,1
111,16,115,1
111,37,116,1
111,63,117,1
111,146,118,1
118,55,119,1
119,5,120,1
120,26,121,1
121,5,122,1
122,5,123,1
123,136,124,1
123,137,125,1
124,26,126,1
125,16,127,1
127,21,128,1
130,36,129,1
133,5,130,1
135,16,131,1
136,63,132,1
136,70,133,1
136,74,134,1
136,104,135,1
136,117,136,1
136,119,137,1
136,123,138,1
136,124,139,1
136,130,140,1
136,137,141,1
137,63,142,1
138,36,143,1
139,36,144,1
140,63,145,1
141,5,146,1
143,5,147,1
146,32,148,1
