Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,S1,3.0,1.684782608695652,76.21103910361771,0,0,34,34,34.0,0.0,34.0,0.02017291,0.02017291,0.01841350672713926,0,0.4206773618538324,236,0.728869874061497
2,S2,3.0,1.5326086956521738,243.4091831270029,7,1,44,45,45.0,1.0,44.0,0.026512967,0.026512967,0.02519063127873714,0,0.30606060606060603,303,0.8855642273515875
3,S3,3.0,1.684782608695652,57.502428520408074,0,1,29,30,30.0,1.0,29.0,0.017867435,0.017867435,0.016471827770891987,0,0.4206896551724138,183,0.6300957771152055
4,S4,3.0,1.6521739130434783,78.7543621742431,0,1,32,33,33.0,1.0,32.0,0.019596541,0.019596541,0.01797674623018056,0,0.39204545454545453,207,0.6942576137716463
5,S5,3.0,1.5869565217391304,100.1213505159205,0,4,35,39,39.0,4.0,35.0,0.023054754,0.023054754,0.020788148767962058,0,0.45883940620782726,340,0.8566716443816521
6,S6,3.0,2.217391304347826,0.28701140930723507,0,4,8,12,12.0,4.0,8.0,0.0074927956,0.0074927956,0.007156270400357993,0,0.8787878787878788,58,0.3147523942975851
7,S7,3.0,2.1847826086956523,0.5538569668504671,0,5,9,14,14.0,5.0,9.0,0.008645534,0.008645534,0.008137017549064325,0,0.8791208791208791,80,0.3472940750927838
8,S8,3.0,2.1847826086956523,0.5538569668504671,0,6,8,14,14.0,6.0,8.0,0.008645534,0.008645534,0.008137017549064325,0,0.8791208791208791,80,0.34729407509278376
9,S9,3.0,1.5978260869565217,161.76332127000023,7,0,38,38,38.0,0.0,38.0,0.022478387,0.022478387,0.021775916913739545,0,0.3129445234708393,220,0.7044482428513238
10,S10,3.0,2.010869565217391,19.240326578316463,0,6,11,17,17.0,6.0,11.0,0.01037464,0.01037464,0.009674693066201322,0,0.6102941176470589,83,0.44398400437656876
11,S11,3.0,1.9456521739130435,16.251308557365917,5,5,5,10,10.0,5.0,5.0,0.0063400576,0.0063400576,0.006785209436801562,0,0.5555555555555556,25,0.25235606490679313
12,S12,3.0,2.0652173913043477,11.967484624061457,0,4,8,12,12.0,4.0,8.0,0.0074927956,0.0074927956,0.007309070047596105,0,0.5606060606060606,37,0.344694377458145
13,S13,3.0,1.9891304347826086,14.589468273859648,8,1,9,10,10.0,1.0,9.0,0.0063400576,0.0063400576,0.006957024447814741,0,0.5111111111111111,23,0.21420429990881243
14,S14,3.0,1.858695652173913,1.1841288763737148,7,2,14,16,16.0,2.0,14.0,0.009798271,0.009798271,0.009194767433711499,0,0.8166666666666667,98,0.48990588472674546
15,S15,3.0,2.0434782608695654,10.339384431220921,5,0,7,7,7.0,0.0,7.0,0.004610951,0.004610951,0.005638807112247862,0,0.42857142857142855,9,0.1432666532357599
16,S16,3.0,2.0217391304347827,13.369080448913763,5,4,8,12,12.0,4.0,8.0,0.0074927956,0.0074927956,0.007871566544709382,0,0.5606060606060606,37,0.2651504873291301
17,S17,3.0,2.217391304347826,0.9799965269672961,8,2,3,5,5.0,2.0,3.0,0.0034582133,0.0034582133,0.004014158183246213,0,0.5,5,0.1260472766990693
18,S18,3.0,2.0434782608695654,8.824306139321678,0,4,6,10,10.0,4.0,6.0,0.0063400576,0.0063400576,0.006570330459977058,0,0.6444444444444445,29,0.2519888223272729
19,S19,3.0,1.826086956521739,22.491624438662893,0,9,18,27,27.0,9.0,18.0,0.016138328,0.016138328,0.014575798030988567,0,0.6096866096866097,214,0.6092576164970014
20,S20,3.0,1.9021739130434783,15.209463801526207,0,6,13,19,19.0,6.0,13.0,0.011527377,0.011527377,0.010874330137677982,0,0.631578947368421,108,0.4787793101138297
21,S21,3.0,2.0760869565217392,12.38946449470904,0,9,9,18,18.0,9.0,9.0,0.010951009,0.010951009,0.010471547658742775,0,0.6143790849673203,94,0.40275921723985997
22,S22,3.0,2.4130434782608696,0.05263157894736842,0,0,3,3,3.0,0.0,3.0,0.0023054755,0.0023054755,0.003054266264067035,0,0.6666666666666666,2,0.07444280047405397
23,S23,3.0,2.032608695652174,0.2820075051653999,5,0,9,9,9.0,0.0,9.0,0.0057636886,0.0057636886,0.005861433251664816,0,0.8055555555555556,29,0.29313392396641463
24,S24,4.0,2.532608695652174,4.943357374779947,0,5,2,7,7.0,5.0,2.0,0.004610951,0.004610951,0.005305562972525681,0,0.14285714285714285,3,0.09117494490422216
25,S25,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0015948962961682862,1,0.0,0,0.0
26,S26,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0015948962961682862,2,0.0,0,0.0
