Source,Target, id, Weight
1,3,1,1
1,5,2,1
1,15,3,2
1,19,4,2
1,30,5,2
1,38,6,2
1,39,7,4
1,44,8,2
1,46,9,2
1,47,10,2
1,48,11,2
1,50,12,4
1,53,13,4
1,56,14,2
1,59,15,4
1,77,16,2
3,6,17,1
3,19,18,2
3,30,19,2
3,39,20,2
3,44,21,2
3,46,22,2
3,47,23,2
3,48,24,2
3,50,25,4
3,53,26,4
3,56,27,2
3,59,28,2
3,77,29,2
4,19,30,1
4,30,31,1
4,44,32,1
4,46,33,1
4,47,34,1
4,48,35,1
4,50,36,2
4,53,37,2
4,56,38,1
4,59,39,1
4,77,40,1
4,89,41,1
5,6,42,1
5,19,43,1
5,30,44,1
5,38,45,1
5,39,46,2
5,44,47,1
5,46,48,1
5,47,49,1
5,48,50,1
5,50,51,2
5,53,52,2
5,56,53,1
5,59,54,1
5,77,55,1
6,10,56,1
6,12,57,1
6,14,58,1
6,16,59,1
6,17,60,1
6,18,61,3
6,21,62,2
6,22,63,1
6,23,64,1
6,28,65,1
6,29,66,1
6,30,67,1
6,31,68,3
6,32,69,2
6,35,70,3
6,38,71,1
6,40,72,1
6,41,73,1
6,44,74,4
6,45,75,2
6,48,76,1
6,55,77,1
6,56,78,3
6,57,79,1
6,58,80,1
6,59,81,5
6,60,82,2
6,61,83,3
6,62,84,1
6,63,85,3
6,64,86,1
6,65,87,1
6,67,88,1
6,69,89,1
6,70,90,1
6,71,91,1
6,73,92,2
6,74,93,1
6,75,94,2
6,79,95,1
6,81,96,1
6,82,97,3
6,90,98,1
6,91,99,1
6,92,100,1
6,93,101,4
6,95,102,1
7,38,103,3
8,59,104,1
9,38,105,2
10,19,106,1
10,30,107,1
10,44,108,3
10,46,109,1
10,47,110,1
10,48,111,1
10,50,112,2
10,53,113,2
10,56,114,1
10,59,115,1
10,73,116,1
10,77,117,1
10,79,118,1
10,81,119,1
11,13,120,1
11,14,121,1
11,29,122,1
11,32,123,1
11,42,124,1
11,46,125,2
11,48,126,1
11,50,127,1
11,53,128,1
11,56,129,1
11,59,130,2
11,74,131,1
11,75,132,1
11,81,133,1
11,87,134,1
11,91,135,1
11,93,136,1
12,26,137,1
12,27,138,2
12,46,139,1
12,48,140,1
12,50,141,1
12,59,142,1
12,91,143,2
13,14,144,1
13,18,145,2
13,22,146,1
13,23,147,1
13,24,148,2
13,32,149,2
13,42,150,1
13,45,151,1
13,46,152,1
13,49,153,1
13,51,154,1
13,53,155,1
13,56,156,1
13,57,157,1
13,59,158,1
13,60,159,1
13,66,160,1
13,67,161,1
13,69,162,1
13,71,163,1
13,72,164,1
13,74,165,1
13,75,166,1
13,78,167,1
13,80,168,1
13,81,169,1
13,83,170,1
13,85,171,1
13,87,172,1
13,91,173,1
13,92,174,1
13,93,175,2
13,95,176,1
14,19,177,1
14,25,178,1
14,26,179,1
14,28,180,1
14,31,181,1
14,34,182,1
14,36,183,1
14,38,184,1
14,42,185,2
14,44,186,2
14,54,187,1
14,67,188,1
14,73,189,1
14,74,190,1
14,75,191,1
14,78,192,1
14,79,193,1
14,81,194,1
14,87,195,1
14,93,196,1
15,16,197,1
15,19,198,1
15,23,199,2
15,30,200,1
15,32,201,1
15,38,202,3
15,44,203,1
15,46,204,1
15,47,205,1
15,48,206,1
15,50,207,2
15,53,208,2
15,56,209,1
15,59,210,3
15,61,211,2
15,66,212,2
15,77,213,1
15,79,214,1
15,91,215,1
16,61,216,1
16,63,217,1
18,19,218,2
18,30,219,2
18,44,220,2
18,46,221,2
18,47,222,2
18,48,223,2
18,50,224,4
18,53,225,4
18,56,226,2
18,59,227,2
18,75,228,1
18,77,229,2
18,93,230,1
19,22,231,1
19,23,232,2
19,27,233,2
19,30,234,2
19,32,235,1
19,37,236,2
19,38,237,2
19,39,238,1
19,40,239,1
19,41,240,1
19,42,241,1
19,44,242,4
19,46,243,5
19,47,244,2
19,48,245,5
19,49,246,1
19,50,247,5
19,53,248,3
19,56,249,2
19,57,250,1
19,58,251,1
19,59,252,5
19,61,253,1
19,62,254,2
19,63,255,1
19,65,256,1
19,67,257,1
19,69,258,1
19,73,259,1
19,74,260,1
19,75,261,2
19,77,262,1
19,78,263,1
19,79,264,1
19,81,265,2
19,82,266,2
19,84,267,1
19,85,268,2
19,86,269,1
19,87,270,1
