Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,nAma,2.0,1.826086956521739,42.35294117647059,3,1,4,4.0,3.0,1.0,0.0076219514,0.0076219514,47,0.003943003484247204,0,0.16666666666666666,1,0.34338357466226044
1,varShA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,6.16349845874057E-4,1,0.0,0,0.0
2,shakti,11.0,5.132075471698113,75.0,0,4,4,4.0,0.0,4.0,0.0076219514,0.0076219514,87,0.00606257639457547,2,0.0,0,0.02438300881264099
3,rAjanIti,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,6.16349845874057E-4,3,0.0,0,0.0
4,jharane,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,6.16349845874057E-4,4,0.0,0,0.0
5,samudra,10.0,6.452830188679245,102.0,1,1,2,3.0,2.0,1.0,0.0045731706,0.0045731706,12,0.004568503691595978,2,0.0,0,0.007067498703040282
6,nAva,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,6.16349845874057E-4,5,0.0,0,0.0
7,parishrama,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
8,hastAkShara,3.0,2.6956521739130435,22.0,2,0,2,2.0,2.0,0.0,0.0045731706,0.0045731706,47,0.00313520837111274,0,0.0,0,0.04724060363212616
9,bacAva,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
10,janajAtiyoM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,6.16349845874057E-4,7,0.0,0,0.0
11,sAloM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,6.16349845874057E-4,8,0.0,0,0.0
12,ikvADora,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,6.16349845874057E-4,9,0.0,0,0.0
13,rUpa,3.0,1.2608695652173914,66.49999999999999,2,19,21,21.0,2.0,19.0,0.032012194,0.032012194,47,0.01542078424255744,0,0.09473684210526316,18,1.0
14,pakSha,4.0,2.125,5.5,1,1,2,2.0,1.0,1.0,0.0045731706,0.0045731706,150,0.0038018958149199653,10,0.0,0,0.022092608415891304
15,salvADora,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,6.16349845874057E-4,11,0.0,0,0.0
16,anusaMdhAna,3.0,1.9736842105263157,37.0,1,1,2,2.0,1.0,1.0,0.0045731706,0.0045731706,45,0.004477473610209752,6,0.0,0,0.09660898893074493
17,yuddha,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
18,perU,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,6.16349845874057E-4,12,0.0,0,0.0
19,niyaMtraNa,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
20,nishcaya,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,0.0030487804,0.0030487804,44,0.0013104516513601627,13,0.0,0,0.0033293824494417565
21,jIvana,4.0,2.260869565217391,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,47,0.0013036392820614793,0,0.0,0,0.09551751129866648
22,suMdaratA,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
23,vibhinnatA,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
24,senA,5.0,2.9375,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,150,0.0022768062303315977,10,0.0,0,0.007121042438036666
25,jIta,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,6.16349845874057E-4,14,0.0,0,0.0
26,utpAdana,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
27,guTa,11.0,5.132075471698113,0.4,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,80,0.0025890026122377878,2,0.6666666666666666,2,0.06648913169455459
28,kaThinAiyAM,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
29,harA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,6.16349845874057E-4,15,0.0,0,0.0
30,shakti,11.0,5.132075471698113,75.0,0,4,4,4.0,0.0,4.0,0.0076219514,0.0076219514,87,0.00606257639457547,2,0.0,0,0.02438300881264099
31,shAsaka,1.0,1.0,1.0,0,2,2,2.0,0.0,2.0,0.0045731706,0.0045731706,11,0.006245342031058346,16,0.0,0,0.0047680546569397
32,saMgharSha,1.0,1.0,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,39,0.004281137147257648,17,0.0,0,0.002173954419619484
33,briTisha,2.0,1.75,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,162,0.002807983484407124,18,0.0,0,0.005201408320245395
34,pAnI,9.0,5.547169811320755,150.0,0,2,2,4.0,0.0,4.0,0.0045731706,0.0045731706,12,0.004342815535448789,2,0.0,0,0.007904194123184867
35,nahIM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,13,6.16349845874057E-4,19,0.0,0,0.0
36,samaya,2.0,1.2857142857142858,0.6000000000000001,0,5,5,5.0,0.0,5.0,0.009146341,0.009146341,135,0.0031098142641556572,20,0.7,7,0.13484700201373323
37,kimI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,6.16349845874057E-4,21,0.0,0,0.0
38,paryaTaka,1.0,1.0,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,37,0.004281137147257648,22,0.0,0,0.002173954419619484
39,jaldI,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
40,samUha,3.0,1.375,106.5,0,11,11,11.0,0.0,11.0,0.018292682,0.018292682,150,0.020640494200994633,10,0.0,0,0.059834322105921295
41,sabhyatA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,15,6.16349845874057E-4,23,0.0,0,0.0
42,kaida,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,16,6.16349845874057E-4,24,0.0,0,0.0
43,khajAne,2.0,1.6666666666666667,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,156,0.002971667224723849,25,0.0,0,0.004123532261647785
44,kAryavAhI,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
45,saMtAna,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,17,6.16349845874057E-4,26,0.0,0,0.0
46,loga,4.0,2.3125,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,150,0.002226520832392929,10,0.0,0,0.01642442100908536
47,UrjA,12.0,6.0754716981132075,0.25,2,0,2,2.0,2.0,0.0,0.0045731706,0.0045731706,87,0.003212203275593226,2,0.0,0,0.015045369980194389
48,hissA,10.0,4.245283018867925,93.99999999999999,2,7,9,9.0,2.0,7.0,0.0121951215,0.0121951215,80,0.005614276653809246,2,0.23809523809523808,5,0.1253717275772219
49,dhuneM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,6.16349845874057E-4,27,0.0,0,0.0
50,Agraha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,19,6.16349845874057E-4,28,0.0,0,0.0
51,tAjagI,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
52,kolaMbiyA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,20,6.16349845874057E-4,29,0.0,0,0.0
53,tarka,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,21,6.16349845874057E-4,30,0.0,0,0.0
54,shaktiyAM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,22,6.16349845874057E-4,31,0.0,0,0.0
55,daurAna,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,23,6.16349845874057E-4,32,0.0,0,0.0
56,hathiyAra,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,24,6.16349845874057E-4,33,0.0,0,0.0
57,sAjhe,4.0,2.0,0.3529411764705882,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,47,0.0025993473299006447,0,0.3333333333333333,1,0.33545418818764644
58,jAtiyoM,11.0,5.132075471698113,0.4,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,80,0.0025890026122377878,2,0.6666666666666666,2,0.06648913169455459
59,desha,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,0.0030487804,0.0030487804,91,0.004281137147257648,34,0.0,0,0.002173954419619484
