Source,Target, id, Weight
1,70,1,1
6,31,2,1
6,44,3,1
6,53,4,1
6,56,5,1
6,66,6,1
6,85,7,1
6,88,8,1
6,90,9,1
6,93,10,1
6,96,11,1
6,109,12,1
6,110,13,1
6,129,14,1
6,151,15,1
6,165,16,1
6,170,17,1
6,173,18,1
6,204,19,1
6,215,20,1
6,222,21,1
6,228,22,1
6,232,23,1
6,236,24,1
6,269,25,1
6,279,26,1
6,301,27,1
6,302,28,1
6,323,29,1
6,331,30,1
6,348,31,1
7,57,32,1
7,94,33,1
7,289,34,1
8,35,35,2
8,42,36,1
8,132,37,1
8,244,38,2
8,251,39,1
8,267,40,2
9,58,41,1
10,41,42,1
11,59,43,1
11,92,44,1
11,143,45,1
11,182,46,1
11,201,47,2
11,218,48,2
11,242,49,1
11,329,50,1
12,36,51,1
12,59,52,1
12,92,53,1
12,105,54,1
12,254,55,1
12,294,56,1
12,306,57,1
12,307,58,1
12,308,59,1
12,309,60,1
12,312,61,1
12,313,62,1
12,320,63,1
12,329,64,1
13,97,65,1
13,263,66,1
15,16,67,2
16,15,68,2
16,17,69,2
17,16,70,2
19,220,71,2
20,10,72,1
20,13,73,1
20,21,74,1
20,28,75,1
20,69,76,1
20,78,77,1
20,88,78,1
20,97,79,1
20,105,80,1
20,106,81,1
20,108,82,1
20,116,83,1
20,119,84,1
20,124,85,1
20,140,86,1
20,147,87,1
20,161,88,1
20,162,89,1
20,179,90,1
20,198,91,1
20,239,92,1
20,268,93,1
20,277,94,1
20,282,95,1
20,317,96,1
20,318,97,1
20,330,98,1
20,347,99,1
23,170,100,1
23,174,101,1
24,50,102,1
24,74,103,1
24,105,104,1
24,111,105,1
24,281,106,1
24,326,107,1
25,57,108,1
25,84,109,1
31,6,110,1
32,164,111,1
33,75,112,2
35,58,113,1
36,136,114,1
38,15,115,1
38,39,116,1
38,73,117,1
38,168,118,1
38,227,119,1
38,343,120,1
39,38,121,1
42,59,122,1
42,72,123,1
42,264,124,1
42,267,125,1
42,269,126,1
42,329,127,1
44,66,128,1
44,129,129,1
44,173,130,1
44,235,131,1
45,155,132,1
48,81,133,1
50,24,134,1
52,341,135,1
55,58,136,1
56,6,137,1
57,25,138,1
