Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,nIdaralaiNDa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,5.781744264857095E-4,0,0.0,0,0.0
1,vijayI,3.0,2.0,0.0,2,0,2,2.0,2.0,0.0,142,0.0045592706,0.0045592706,0.0024674749212007085,1,1.0,1,0.11648773946960812
2,pariShada,0.0,0.0,0.0,1,1,2,2.0,1.0,1.0,1,0.0030395137,0.0030395137,0.0010104165083847472,2,0.0,0,0.0028517556991628206
3,shivira,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2,0.0,0.0,5.781744264857095E-4,3,0.0,0,0.0
4,gaMdagI,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
5,anta,14.0,7.419047619047619,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0023025351640284294,4,0.0,0,0.029769512396527448
6,DacoM,3.0,2.0,0.0,1,0,1,1.0,1.0,0.0,42,0.0030395137,0.0030395137,0.00230845249172098,5,0.0,0,0.019856016155622307
7,tAla,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3,0.0,0.0,5.781744264857095E-4,6,0.0,0,0.0
8,mArga,11.0,5.9904761904761905,214.16666666666688,2,1,3,3.0,2.0,1.0,99,0.0060790274,0.0060790274,0.0035814579737451346,4,0.0,0,0.09461126398916014
9,shreNiyoM,12.0,6.123809523809523,13.333333333333327,4,0,4,4.0,4.0,0.0,87,0.0075987843,0.0075987843,0.0029775258103940886,4,0.6666666666666666,4,0.3299729218466666
10,upasthiti,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
11,nahIM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,4,0.0,0.0,5.781744264857095E-4,7,0.0,0,0.0
12,ghAsa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5,0.0,0.0,5.781744264857095E-4,8,0.0,0,0.0
13,phreMca,3.0,2.0,0.0,1,0,1,1.0,1.0,0.0,42,0.0030395137,0.0030395137,0.00230845249172098,5,0.0,0,0.019856016155622307
14,upekShA,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
15,logoM,3.0,2.0,0.0,2,0,2,2.0,2.0,0.0,142,0.0045592706,0.0045592706,0.0024674749212007085,1,1.0,1,0.11648773946960812
