Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,pashcima,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,0,0.0,0,0.0
1,parakha,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,1,0.0,0,0.0
2,bharata,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,2,0.0,0,0.0
3,udgama,5.0,2.625,0.0,183,1,0,1,1.0,1.0,0.0,0.0072202166,0.0072202166,0.0034667716146524834,3,0.0,0,0.22227523336703206
4,maMtrI,2.0,1.5,0.0,64,1,0,1,1.0,1.0,0.0,0.0072202166,0.0072202166,0.005294067246581779,4,0.0,0,0.008527894857645215
5,garbhagRRiha,2.0,1.8,0.0,108,1,0,1,1.0,1.0,0.0,0.0072202166,0.0072202166,0.004347493792181828,5,0.0,0,0.022417491066028427
6,saMbaMdha,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,6,0.0,0,0.0
7,ghirAva,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,7,0.0,0,0.0
8,nAveM,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,8,0.0,0,0.0
9,nIMva,0.0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,9,0.0,0,0.0
10,yashodA,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,10,0.0,0,0.0
11,chora,3.0,1.75,3.0,79,1,3,4,5.0,1.0,4.0,0.014440433,0.014440433,0.006737699634462665,11,0.0,0,0.03818658672354812
12,dakShiNa,0.0,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,12,0.0,0,0.0
13,purAtatva,2.0,1.5,0.0,88,1,0,1,1.0,1.0,0.0,0.0072202166,0.0072202166,0.005294067246581779,13,0.0,0,0.008527894857645215
14,purANoM,0.0,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,14,0.0,0,0.0
15,dashAvatAra,0.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,15,0.0,0,0.0
16,pUjA,0.0,0.0,0.0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,16,0.0,0,0.0
17,yauvanakAla,0.0,0.0,0.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,17,0.0,0,0.0
18,tIrtha_sthala,1.0,1.0,1.0,109,0,2,2,2.0,0.0,2.0,0.010830325,0.010830325,0.010026934518581537,18,0.0,0,0.012449424069995144
19,sI.DhiyoM,0.0,0.0,0.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,19,0.0,0,0.0
20,jaina,2.0,1.5,0.0,180,1,0,1,1.0,1.0,0.0,0.0072202166,0.0072202166,0.005294067246581779,20,0.0,0,0.008527894857645215
21,samaya,2.0,1.5,0.3333333333333333,96,0,2,2,2.0,0.0,2.0,0.010830325,0.010830325,0.005819941387915084,21,0.0,0,0.03685046080549375
22,vividhatA,0.0,0.0,0.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,22,0.0,0,0.0
23,kShetraphala,0.0,0.0,0.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,9.997806655418907E-4,23,0.0,0,0.0
