Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,S1,3.0,1.3617021276595744,143.54934351287696,4,0,61,61,61,0,61,0.020334536,0.020334536,0.019316945290277047,0,0.4601092896174863,842,0.9084753274279029
2,S2,3.0,1.5,52.278048076341776,4,1,47,48,48,1,47,0.016070843,0.016070843,0.01526068932574481,0,0.5115248226950354,577,0.768582782019131
3,S3,2.0,1.8191489361702127,4.618920070125595,3,0,17,17,17,0,17,0.005903575,0.005903575,0.006441870804506567,0,0.5735294117647058,78,0.2698721520271127
4,S4,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0015665796015611273,1,0.0,0,0.0
5,S5,3.0,1.4574468085106382,86.86709250095406,2,3,49,52,52,3,49,0.017382748,0.017382748,0.016547840790005954,0,0.47888386123680243,635,0.7984541158291717
6,S6,3.0,1.9042553191489362,4.446624371787345,3,1,11,12,12,1,11,0.004263693,0.004263693,0.005155733071129024,0,0.3939393939393939,26,0.16655240615357397
7,S7,3.0,1.8617021276595744,0.9320926688796163,2,1,18,19,19,1,18,0.006559528,0.006559528,0.0066493305355128296,0,0.8713450292397661,149,0.3880470525315328
8,S8,2.0,1.4574468085106382,107.45565844396673,3,3,48,51,51,3,48,0.017054772,0.017054772,0.016918368113609954,0,0.43137254901960786,550,0.7090127470006037
9,S9,3.0,1.8829787234042554,0.8695926688796163,2,0,17,17,17,0,17,0.005903575,0.005903575,0.006115283394919243,0,0.8455882352941176,115,0.34482771989788674
10,S10,3.0,1.7553191489361701,21.042308621075797,4,1,24,25,25,1,24,0.008527386,0.008527386,0.008821896320479252,0,0.45,135,0.38539253622784897
11,S11,3.0,1.7872340425531914,4.7523306985038145,4,5,20,25,25,5,20,0.008527386,0.008527386,0.008377211466728787,0,0.77,231,0.48366929191736696
12,S12,2.0,1.648936170212766,67.92780405502864,2,3,30,33,33,3,30,0.011151197,0.011151197,0.011662891503477232,0,0.4696969696969697,248,0.49711808744104785
13,S13,3.0,2.0531914893617023,0.8911977806285587,3,1,5,6,6,1,5,0.0022958347,0.0022958347,0.0034190968870259596,0,0.4,6,0.07492879526712057
14,S14,2.0,1.627659574468085,23.266262920722117,2,4,31,35,35,4,31,0.01180715,0.01180715,0.011431884959829532,0,0.5663865546218487,337,0.5928030775285271
15,S15,3.0,1.946808510638298,3.683403586902595,3,1,10,11,11,1,10,0.0039357166,0.0039357166,0.004968562630090302,0,0.45454545454545453,25,0.1324191304871974
16,S16,2.0,1.3297872340425532,87.09771503034973,2,10,53,63,63,10,53,0.020990489,0.020990489,0.01935076140036741,0,0.5140809011776754,1004,1.0
17,S17,3.0,1.8404255319148937,1.168016329963522,3,6,10,16,16,6,10,0.0055755987,0.0055755987,0.0059536439108738995,0,0.775,93,0.30851237298300727
18,S18,2.0,1.5319148936170213,84.504985550523,3,10,34,44,44,10,34,0.014758937,0.014758937,0.01449766693033169,0,0.45454545454545453,430,0.6580754818698695
19,S19,3.0,1.8404255319148937,0.4016833839455868,2,4,15,19,19,4,15,0.006559528,0.006559528,0.006629420177284278,0,0.935672514619883,160,0.3976844801553689
20,S20,2.0,1.351063829787234,77.65173124410964,2,13,48,61,61,13,48,0.020334536,0.020334536,0.01875175108964299,0,0.5360655737704918,981,0.9865070060808845
21,S21,3.0,2.0,0.038461538461538464,4,4,2,6,6,4,2,0.0022958347,0.0022958347,0.0031957536223594656,0,0.9333333333333333,14,0.12303968412239845
22,S22,2.0,1.425531914893617,55.732145973743265,2,13,41,54,54,13,41,0.018038701,0.018038701,0.016688025826521596,0,0.549266247379455,786,0.8792152179349617
23,S23,3.0,1.8085106382978724,0.8563608507851782,2,7,13,20,20,7,13,0.006887504,0.006887504,0.00691146143571983,0,0.8894736842105263,169,0.41557815154408884
24,S24,2.0,1.7127659574468086,7.157565673740457,2,7,20,27,27,7,20,0.009183339,0.009183339,0.008983021364443143,0,0.6723646723646723,236,0.5025207497416422
25,S25,2.0,1.3829787234042554,209.07282846376003,3,12,46,58,58,12,46,0.019350607,0.019350607,0.019569162662611314,0,0.3871748336358137,640,0.7848325516092951
26,S26,2.0,1.7872340425531914,10.87747081118475,3,6,14,20,20,6,14,0.006887504,0.006887504,0.007690856820429765,0,0.531578947368421,101,0.2638539882613651
27,S27,3.0,2.202127659574468,0.0,3,2,1,3,3,2,1,0.0013119056,0.0013119056,0.002418328309301091,0,1.0,3,0.05315616571960235
28,S28,2.0,1.297872340425532,138.03318674946615,4,19,47,66,66,19,47,0.021974418,0.021974418,0.0204460860659384,0,0.468997668997669,1006,0.9998160894895325
29,S29,3.0,1.4893617021276595,53.296169236982216,4,9,40,49,49,9,40,0.01639882,0.01639882,0.015394280419888986,0,0.49489795918367346,582,0.7889695451667944
30,S30,2.0,1.5425531914893618,35.09328367322064,4,7,36,43,43,7,36,0.014430961,0.014430961,0.013687764816421241,0,0.5249169435215947,474,0.7010506273822038
31,S31,3.0,1.6702127659574468,5.688321974837861,2,12,20,32,32,12,20,0.010823221,0.010823221,0.010247763342521305,0,0.7923387096774194,393,0.6238201967740442
