Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,S1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0015527949963487413,0,0.0,0,0.0
2,S2,4.0,2.6,0.0,2,0,2,2,2.0,0.0,2.0,0.0017084283,0.0017084283,0.002566736501129166,1,1.0,1,0.04097488558663777
3,S3,3.0,1.8736842105263158,31.568029636306314,3,0,19,19,19.0,0.0,19.0,0.011389522,0.011389522,0.011153703572774534,1,0.3567251461988304,61,0.36833224383749724
4,S4,3.0,1.8736842105263158,34.01914383624295,2,1,17,18,18.0,1.0,17.0,0.010820045,0.010820045,0.010499874657756352,1,0.43137254901960786,66,0.3819138944240046
5,S5,4.0,2.1052631578947367,3.0341834636428104,6,1,6,7,7.0,1.0,6.0,0.004555809,0.004555809,0.005014392955438964,1,0.38095238095238093,8,0.14308653709115116
6,S6,3.0,1.6631578947368422,93.81708752966384,6,2,35,37,37.0,2.0,35.0,0.02164009,0.02164009,0.019622685532661818,1,0.35735735735735735,238,0.7642733033859634
7,S7,3.0,1.8105263157894738,32.989678540741636,3,0,23,23,23.0,0.0,23.0,0.013667426,0.013667426,0.0128690032699316,1,0.4426877470355731,112,0.5003029751009953
8,S8,4.0,2.126315789473684,9.742561203733679,5,1,9,10,10.0,1.0,9.0,0.0062642368,0.0062642368,0.0066235515605327705,1,0.28888888888888886,13,0.18758643149021761
9,S9,3.0,1.8631578947368421,13.421855110730654,3,1,16,17,17.0,1.0,16.0,0.010250569,0.010250569,0.009913682334767297,1,0.5808823529411765,79,0.41906863118799287
10,S10,3.0,2.0,14.077058961353567,3,1,11,12,12.0,1.0,11.0,0.007403189,0.007403189,0.007742039809199197,1,0.5606060606060606,37,0.29498544495619144
11,S11,5.0,3.294736842105263,0.0,3,0,1,1,1.0,0.0,1.0,0.0011389522,0.0011389522,0.002419099170374892,1,0.0,0,0.005391162348993695
12,S12,3.0,1.9684210526315788,32.40667805830115,5,3,13,16,16.0,3.0,13.0,0.0096810935,0.0096810935,0.009890587483526054,1,0.35,42,0.29450168547207717
13,S13,3.0,1.8421052631578947,36.88301400424581,3,2,20,22,22.0,2.0,20.0,0.01309795,0.01309795,0.01233623381622148,1,0.45454545454545453,105,0.4905315250190353
14,S14,5.0,3.2,0.0,2,0,1,1,1.0,0.0,1.0,0.0011389522,0.0011389522,0.0026986999398558482,1,0.0,0,0.003312825833254965
15,S15,3.0,1.7052631578947368,90.74583303886956,6,1,33,34,34.0,1.0,33.0,0.019931663,0.019931663,0.018339256395291402,1,0.44563279857397503,250,0.720333048451993
16,S16,3.0,1.9157894736842105,3.500851488747267,6,2,14,16,16.0,2.0,14.0,0.0096810935,0.0096810935,0.00902419318869296,1,0.75,90,0.4655937757068588
17,S17,3.0,1.8526315789473684,40.920951338304604,2,2,17,19,19.0,2.0,17.0,0.011389522,0.011389522,0.011536790446242652,1,0.3684210526315789,63,0.29895431017935215
18,S18,4.0,1.9684210526315788,18.917152156718444,2,2,14,16,16.0,2.0,14.0,0.0096810935,0.0096810935,0.009503463466914079,1,0.4,48,0.31316941161503437
19,S19,4.0,2.3263157894736843,0.5902656097900153,5,0,3,3,3.0,0.0,3.0,0.0022779044,0.0022779044,0.003079983596180952,1,0.3333333333333333,1,0.061153597353774285
20,S20,3.0,2.0,9.556066301548425,3,0,12,12,12.0,0.0,12.0,0.007403189,0.007403189,0.007522691016865814,1,0.5,33,0.29825256534881506
21,S21,3.0,1.5157894736842106,339.1746288074127,6,9,41,50,50.0,9.0,41.0,0.02904328,0.02904328,0.02729188391365281,1,0.3053061224489796,374,0.937150571014073
22,S22,3.0,1.8631578947368421,20.96624010931446,3,9,10,19,19.0,9.0,10.0,0.011389522,0.011389522,0.010924863222909956,1,0.49707602339181284,85,0.42609828393981025
23,S23,3.0,1.9263157894736842,63.7588331082181,2,1,15,16,16.0,1.0,15.0,0.0096810935,0.0096810935,0.010435387253016863,1,0.375,45,0.31753990377681546
24,S24,4.0,2.231578947368421,3.1543916206604363,4,0,6,6,6.0,0.0,6.0,0.0039863326,0.0039863326,0.004557209206287292,1,0.26666666666666666,4,0.10538181226954026
25,S25,3.0,2.1578947368421053,4.288367642770744,3,0,8,8,8.0,0.0,8.0,0.0051252847,0.0051252847,0.00563925002057197,1,0.6785714285714286,19,0.22259297829998512
26,S26,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0015527949963487413,2,0.0,0,0.0
27,S27,3.0,1.8105263157894738,77.81254491785889,5,8,18,26,26.0,8.0,18.0,0.015375854,0.015375854,0.015232583273196609,1,0.36,117,0.4794691355735999
28,S28,3.0,1.7789473684210526,90.85555728188508,5,5,24,29,29.0,5.0,24.0,0.017084282,0.017084282,0.01643921278774517,1,0.29310344827586204,119,0.5207801137053764
29,S29,4.0,2.463157894736842,7.249679857704313,2,3,4,7,7.0,3.0,4.0,0.004555809,0.004555809,0.005486869843609575,1,0.47619047619047616,10,0.08117191611206055
30,S30,4.0,2.1052631578947367,4.456089518167595,5,5,2,7,7.0,5.0,2.0,0.004555809,0.004555809,0.005139400931617401,1,0.3333333333333333,7,0.12679490027992585
31,S31,3.0,1.4842105263157894,288.8966877852558,4,17,34,51,51.0,17.0,34.0,0.029612755,0.029612755,0.027238238465765056,1,0.3466666666666667,442,1.0
32,S32,4.0,2.0842105263157893,3.639706559233067,5,5,5,10,10.0,5.0,5.0,0.0062642368,0.0062642368,0.006403447782185351,1,0.4222222222222222,19,0.2332522766248391
33,S33,4.0,2.2842105263157895,0.18608465608465607,3,0,6,6,6.0,0.0,6.0,0.0039863326,0.0039863326,0.004410341549002333,1,0.8,12,0.18034248435671968
34,S34,4.0,2.7157894736842105,0.0,2,0,1,1,1.0,0.0,1.0,0.0011389522,0.0011389522,0.0021138676861504006,1,0.0,0,0.01851750894117853
35,S35,4.0,2.210526315789474,94.52404988107428,2,2,2,4,4.0,2.0,2.0,0.0028473805,0.0028473805,0.005383470927101256,1,0.0,0,0.07420786538825212
36,S36,4.0,1.9578947368421054,23.274295276920032,4,5,15,20,20.0,5.0,15.0,0.011958998,0.011958998,0.011200550868992066,1,0.5210526315789473,99,0.4453835269987144
37,S37,3.0,1.8421052631578947,20.857086071355802,4,8,14,22,22.0,8.0,14.0,0.01309795,0.01309795,0.011995535331613348,1,0.47619047619047616,110,0.5182869205519263
38,S38,4.0,2.1578947368421053,1.6607112326323843,5,3,2,5,5.0,3.0,2.0,0.0034168565,0.0034168565,0.0040747085260594805,1,0.3,3,0.11080356053643098
