Source,Target, id, Weight
1,2,1,1
1,4,2,1
1,7,3,1
1,8,4,3
1,10,5,1
1,12,6,1
1,14,7,1
1,17,8,1
1,21,9,1
1,22,10,1
1,23,11,1
1,28,12,1
1,32,13,1
1,36,14,2
1,37,15,1
1,39,16,1
1,43,17,2
1,46,18,1
1,47,19,2
1,49,20,1
1,50,21,1
1,54,22,1
1,55,23,1
1,59,24,1
1,61,25,1
1,62,26,1
1,63,27,1
1,65,28,1
1,69,29,1
1,70,30,2
1,72,31,1
1,73,32,1
1,75,33,1
1,77,34,1
1,80,35,1
1,81,36,1
1,82,37,1
1,85,38,2
1,88,39,1
1,89,40,2
1,90,41,2
1,92,42,1
1,95,43,1
2,4,44,1
2,8,45,1
2,10,46,2
2,11,47,3
2,13,48,2
2,14,49,1
2,25,50,1
2,27,51,1
2,30,52,1
2,31,53,1
2,32,54,2
2,34,55,2
2,35,56,2
2,37,57,1
2,43,58,1
2,55,59,2
2,58,60,1
2,59,61,1
2,60,62,1
2,63,63,1
2,64,64,2
2,69,65,1
2,72,66,1
2,74,67,1
2,75,68,1
3,5,69,1
3,8,70,1
3,9,71,1
3,10,72,3
3,12,73,2
3,18,74,1
3,25,75,1
3,36,76,1
3,38,77,1
3,39,78,1
3,42,79,1
3,48,80,1
3,51,81,3
3,56,82,3
3,60,83,2
3,62,84,3
3,67,85,7
3,68,86,1
3,69,87,1
3,72,88,3
3,83,89,3
3,95,90,1
4,7,91,1
4,8,92,3
4,9,93,1
4,10,94,4
4,11,95,2
4,12,96,1
4,13,97,1
4,14,98,1
4,17,99,1
4,19,100,2
4,21,101,2
4,22,102,1
4,24,103,1
4,26,104,1
4,27,105,1
4,28,106,2
4,33,107,1
4,34,108,1
4,35,109,2
4,39,110,2
4,53,111,1
4,54,112,1
4,55,113,1
4,59,114,1
4,65,115,2
4,69,116,2
4,72,117,1
4,73,118,4
4,76,119,2
4,77,120,1
4,82,121,1
4,84,122,1
4,85,123,1
4,88,124,1
4,89,125,3
4,90,126,2
4,92,127,2
4,96,128,1
4,98,129,2
5,9,130,1
5,10,131,3
5,11,132,1
5,12,133,1
5,34,134,2
5,48,135,1
5,51,136,2
5,55,137,2
5,56,138,2
5,60,139,2
5,62,140,2
5,64,141,2
5,67,142,5
5,69,143,1
5,72,144,2
5,83,145,2
7,8,146,4
7,9,147,1
7,10,148,3
7,11,149,1
7,12,150,1
7,14,151,1
7,15,152,5
7,16,153,2
7,17,154,3
7,20,155,1
7,21,156,1
7,22,157,1
7,25,158,2
7,27,159,1
7,28,160,4
7,30,161,1
7,34,162,3
7,35,163,1
7,38,164,3
7,39,165,3
7,41,166,2
7,46,167,1
7,48,168,1
7,51,169,1
7,55,170,2
7,56,171,1
7,60,172,2
7,62,173,1
7,64,174,4
7,65,175,2
7,67,176,3
7,69,177,2
7,72,178,3
7,73,179,5
7,81,180,2
7,83,181,1
7,85,182,3
7,88,183,2
7,89,184,2
7,90,185,2
7,92,186,1
7,95,187,1
7,96,188,4
7,98,189,3
8,9,190,1
8,10,191,2
8,11,192,3
8,12,193,3
8,13,194,2
8,14,195,2
8,15,196,4
8,16,197,2
8,17,198,5
8,20,199,4
8,21,200,1
8,22,201,3
8,24,202,1
8,25,203,3
8,27,204,1
8,28,205,4
8,30,206,3
8,31,207,1
8,32,208,2
8,35,209,4
8,37,210,1
8,38,211,4
8,39,212,6
8,41,213,2
8,43,214,1
8,46,215,2
8,48,216,1
8,51,217,1
8,56,218,1
8,58,219,1
8,59,220,1
8,60,221,3
8,62,222,1
8,63,223,1
8,64,224,2
8,65,225,1
8,67,226,3
8,69,227,3
8,70,228,2
8,72,229,4
8,73,230,6
8,74,231,1
8,75,232,1
8,81,233,2
8,83,234,1
8,85,235,3
8,88,236,3
8,89,237,4
8,90,238,2
8,92,239,1
8,95,240,2
8,96,241,4
8,97,242,2
8,98,243,2
9,10,244,3
9,11,245,1
9,12,246,1
9,15,247,3
9,16,248,1
9,17,249,3
9,18,250,1
9,19,251,2
9,23,252,1
9,26,253,1
9,27,254,3
9,29,255,2
9,31,256,1
9,32,257,1
9,34,258,1
9,35,259,2
9,37,260,1
9,41,261,1
9,46,262,1
9,48,263,1
9,51,264,2
9,54,265,3
9,55,266,1
9,56,267,2
